book,chapter,line_number,line_content
MAT,1,00019," {20}-{21} Fu ijiege vierafenoenoga E Ireobo ijadufuo anera ijare ari naka urana kuae, Josofu e Devidido uifari ige bara Meri a abekiro jumemo ije fu bakino abene. "
MAT,1,00020, Ro e ije fu fudiema ije fu Kavene Akae ijadufuo daro ijia fudiedo fu ame fari bietekuma a ive ina Jesu kuake. Ijadufuo maeje fure e fuone ijiebuo ise ije bu renoejo ije karauniakono kuae.
MAT,1,00021, {22} Ijiege ro ire boeje bu reva ije fune izege E Ireobo fu isuibe Asaea e vua fuone vierafena kuaemo ijadufuo oe ijia vierafejamo fu kuaema fune ijiakuma riarekiro fu ije ijierei.
MAT,1,00022," {23} Ro vua ije fu kuaema ije bu ijiege isoe, Bara kabaekua be fu baruna naebe naeno fu e fudiena ame fari be bietega bu e Imanuero kuake. (Ro ive ijadufuo maeje Godi fu noena)."
MAT,1,00023, {24} Ijadufuo Josofu fune naema suoke urina izege E Ireobo ijadufuo anera fu kuaraema ijiege fune bara Meri abei.
MAT,1,00024, {25} Fu abe rove fu naebe fuosiki besu naekoga fu vakuma ame fuone amure ije biete. Fu bietemoga Josofu fu abe ive ina Jesu kuae.
MAT,2,00025,MATIU 2
MAT,2,00026, {1} Ro maza ije bu Jesu are Betirieme sakae Judia guove ijia bieteva ijia fu e Erodire e ireobo rena aesakae ije samuamo. Ijiege rekoga rade e bino bu are mazani ajiamo nake ijia ruoma Jerusareme usiae. Ro e ije ruaeva ije bu karina zuvi ijia nuga sumiki bino rerevo ijiebe ruae.
MAT,2,00027," {2} Bu usiaena e ije kiae, Ame iseke ije fu rade e Jiusibuo e ireobo redufuo ije bu izia bietei? No nuga fuone sumiki be ire zuvi ijare are mazani ajiamo nake ajia romo no gae. Ijadufuo no fuone baname isoena kuri tuakafakuae ruaevano kiae."
MAT,2,00028, {3} Bu ijiege kuarianoejoga e Erodikiro e boeje sidove Jerusareme guove ijia kariva bu vua ije fievo buka ireobo defarudiae.
MAT,2,00029," {4} Ijadufuo Erodi fune urina e Godido zinone ifaejevo ijiebuo e mamekanu ijiakina e vua akae nijasiavo ije kumevo bu una besu afui. Bu afuivoga fu kiae, E ije Godi fu kuaga fu ruakono kuaeva ije ja vierafega bu are izia ijia bietevano kiae?"
MAT,2,00030," {5} Fu ijiege kuariamoga bu kua, Godido buki akae bu isuibe isoeva ijia fu kuae, Ame ije bu are Betirieme sakae Judia guove igia bieteke. "
MAT,2,00031," Ijadufuo maeje Maeka e Godido vua vierafena kuaemo ije fu ijiege isoena kuae,  {6} Aesakae Judia guove ijia sidove mamekanu gue bu kariva ijiebuo uve ijia sidove Betirieme aeje aka sidove ma isekube baki. "
MAT,2,00032, Ijadufuo maeje rade are ame fari be sidove ijia nafeke. A ame ije nafega fure rade E Ireobo rena e Isureroko none boeje samuagiakono kuae.
MAT,2,00033, {7} Bu ijiege kuaravoga Erodi fune e ije zuvi ijia nuga rerevo ije ruaeva ijene kiavo bu mauike kaenamia are fuone ijia vae. Bu vakoga fu urina maza ije bu veze zuvi ije fu ajiamo bu gaeva ijadufuo kuariae.
MAT,2,00034," {8} Fu kuariama areme uri kiae, Nine va ame ije mukoreigia rerenoena gakuva nika migegire una ro na kuariefo. Ja kuariega nadua va fu kuri tuakafana fuone baname isoeno kiae."
MAT,2,00035, {9} Erodi fu ijiege kuariamoga bune vakuae vakuma vame gafia una kuke zuvi besu ije bu are maza ajiamo nake fu ajiamo bu gaeva ijene gae. Zuvi ije fu ude vakoke bu gakinu nuvena vakuma ka are ije ame fu namo ijia usiae.
MAT,2,00036, {10} Bu usiaena zuvi ije manino ijene gavo buka ma urukeigia oemadiae.
MAT,2,00037, {11} Areme bune aru va gake ame ije fu asiefuo Meriki ijia kariva bu giae. Bu aru gia areme uri fuone augesana baname isoe. Areme bune uri kamui buone ijia ire gorodikina ire udi mukore urimo inokiro bu kua firenikisenisi ro meno kuavo ijene kena ame ije vajae.
MAT,2,00038," {12} Areme bune naoeva ijia Godi fu naka ijia urana kiae, Jade una Erodi fino ijia vakuva vano kiamoga bune urina vame be ijane una are buone ijia vae."
MAT,2,00039, Josofu fu Merikiro Jesu kaenamiana gamia Ijifiti ari vaema ijene
MAT,2,00040, {13} Ijiege rena e zuvi davo ije bune una vakoga Josofu fu naemaga E Ireobo ijadufuo anera ijare arina naka urana kuarae. 
MAT,2,00041," Fu kua, Ni migegire urina ame guraejiakiro asiefuo ijene kaenamiana uri kona va gamia are Ijifiti figa nare kuaga a una rone. Ijadufuo maeje e ireobo Erodi aesakae samuamo ije fu ame ije kanakiro rerenoeno kuae."
MAT,2,00042, {14} Ijadufuo Josofu fune ve ufirema ijia urina ame ijiakiro asie fuone ije kaenamiana bune Ijifiti vae.
MAT,2,00043," {15} Bune va ijia karinoekoga e Erodi fune fi vakuma baronei. Ro ije bu ijiege reva ije bu izege Osia e Godido vua vierafena kuaemo fu isuibe kuaema ijiakuma riarekiro bu ije ijiege rei. Ro vua ije fu kuaema ije bu ijiege isoe, Na e ije bu aesakae Ijifiti guove ijia kariva ije uve ijia ame Fari none ije kumevo fu keke ruae."
MAT,2,00044, Ame isesina bu kaniaeva ijene
MAT,2,00045," {16} Areme rade Erodi fu vierafega e ije zuvi ijia nuga rerevo ije buka fu biesirivaga fu urukeigia defarui. Ijadufuo fune urina e bijaevo fuone boeje kiae, Ni va are Betirieme ijia ame fari isesina juaevasia besu ro inokiro furiva boeje kaniafo. "
MAT,2,00046, Ro kuke ni va are isesina Betirieme ivuake ijia ro juare bu meva ijia oenoekinu ame isesina boeje kania furino kiae. Ijadufuo maeje bune e ije ruaeva ijiebe zuvi ije fu veze manina sanamo bu gaeva ije kuaraeva ijadufuo fu ame ijieki ije kaniano kiae.
MAT,2,00047," {17} Ro ije bu ijiege reva ije bu izege Jerimaea e Godido vua vierafena kuaemo fu isuibe kuaema ijiakuma riarekiro bu ije ijiege rei. Ro vua ije fu kuaema ije bu ijiege isoe,  {18} Are Rama guove ijia e be nimeno na fie ro e ijeja bara Reserore anafa fuone ijiebuo nimene. Rove fu erare ifejakuma baki ijadufuo maeje ame boeje bune oe furivano kuae."
MAT,2,00048, Josofu fu Merikiro ame iseke ije kaenamia una are Nasareti ajia vaema ijene
MAT,2,00049, {19} Areme e Erodi fune baronekoga E Ireobo ijadufuo anera ije fune una Ijifiti ijia arina Josofu naka urana ijiege kuarae.
MAT,2,00050," {20} Fu kua, Nine ame ijiakiro asiefuo ije kaenamiana una urina are Isurero ijia vane. Ijadufuo maeje e ije bu ame ije kanakuae rerenoejo ije bune oe furivano kuae."
MAT,2,00051, {21} Ijadufuo Josofu fune ame ijiakiro asie fuone ije kaenamiana una urina Isurero ajia vae.
MAT,2,00052, {22}-{23} Fu una Judia ijia fikiro vako ijia fu e Akerasi fu asoefuo Erodido are ije abena e ireobo rena aesakae Judia samuamo fu ije fie. Fu ije fiena fuka ireobo jumemoga E Ireobo ijadufuo anera ije fu una arina Josofu izege fu redufuo boeje funeka naka ijia urana kuarae. 
MAT,2,00053," Ijadufuo fu are Judia fu ijia arena va Nasareti aesakae Gareri ijia are fuone sana ijia fi. Ro ijiege fu rema ije fu izege e Godido vua vierafena kuaemo fu kuaema ijiakuma riarekiro fu ije ijiege rei. Ro vua ije fu kuaema bu ijiege isoe, E ije Godi fu kuaga fu ruadufuo ije fu e are Nasaretikono kuae."
MAT,3,00054,MATIU 3
MAT,3,00055, Joni e do ruoriamo fu vua kuariakinu Jesudo vame amaerima ijene
MAT,3,00056, {1} Areme maza ijia Joni e do ruoriamo ije fu sakae Judia guove ae sao ijia uri zinuivena e ije bu fuone ruovo ije vua nijasiae.
MAT,3,00057," {2} Fu vua nijasianoekinu e ije kuariana kiae, Vame jone ka ise ije ja mumaza renoejo ije arekiro una vame ma ijia kenoefo. Ijadufuo maeje maza ije Godi fu e fuone ijiebuo oe ije samuagiadufuo ije funeka ivuake igifurekino kiae."
MAT,3,00058," {3} Ro Joni ijiege fu kuaema ije fu Asaea e Godido vua vierafena kuaemo ijare fuefuo isuibe ijiege kuae, E be fu ae sao ijia fina kumei, E Ireobo ijadufuo vame ije mukoreigia urari amaerina samuaga fu rono kume."
MAT,3,00059, {4} Ro e Joni sinuome fuone fu samo ije fu fanu kamero u ijia amaeriae ro madare fuone ije fu kuke fanu suri ijia amaeri. Ro ire fuone fu ino ije fu mutuekiro muni vi ije ino.
MAT,3,00060, {5} Joni fu ijiege renoenoga e boeje are Jerusareme kariva abero aesakae Judia kariva ije bu biona fuone ruae. Bu ijiege rekoga e are isesina do Jodeni irifo ijia kariva ije bu vua fu kuaemo ije fiekuae ruae.
MAT,3,00061, {6} Bu biona ruakinu ise buone ije Joni kuarakoga fu kaenamiana do Jodeni ijia do ruoriae.
MAT,3,00062," {7} Ro una e Feresi ijiakiro e Sejusi uruvana bu do ruekuae fuone rovoga fu giana uri kiae, E gare ka isema vierafenoekinu aroekaranoejo garie, Jaja vierafero jane ma renoedo Godi fube rade ja kame isekafiakiro ja ijiege vierafe. Jone izege ja e biesirianoekinu aroekaravo ije arefo."
MAT,3,00063, {8} Ro ni una dasuna mukoreigia kenoega e bu vierafero ja ise jone ja kenoejo ije jane arevaro bu ijiege vierafefo.
MAT,3,00064," {9} Ro jade kuaeko nono asae nuvuone Eburamedo uifarido Godi fube ijuoegafiakiro ijiege kuaevo. Rove igia fie, Godi fu e darokido fu mune gure kena una e Eburamedo anafa amaeriaga bure ae jone abekono kiae."
MAT,3,00065," {10} Joni fu ijiege kuariana uri vua be ijiege mena kuariae. Fu kia, E bu ine bino bu naebe fo kiraga bu giavo ije buka dudone kame buvuana atasena miane ifaejevo. Ijiege ro jadua ja vame maeje ja naebe kenoekuva Godi fu ja kame miane ije naeno ijia korega ja ijia naoke."
MAT,3,00066, {11} Ro eranebe ja vame ise jone boeje ja renoevo ije jane areva ije na kaenamia do ijia ja ruoriake. Ro E Ije fu rade nuvedie ruomo fu ruakuma fure kadure boeje oe jone ijia naovo ije kanana miane ifaejeke. 
MAT,3,00067, Areme fu Kavene Akae ije abena ja nujaejiake. Fure fu ma e anuigi ro naeje na e anuigi baki. Ijadufuo nana naebe manido na dia suri fuone fu saema ije azojadufuo.
MAT,3,00068, {12} E ije fu rade ruakuma fure e ige ja kame atake. Fu kame atana erarebe bu vame ise ije arena una vame ma ijia kenoevo ije fu kena be uniake. Ro erarebe ja vame ise ijia kenoejo ije fu kena una miane ije maza boeje naena vako ijia korekono kiae.
MAT,3,00069, Joni fu Jesu abe do ruoraema ijene
MAT,3,00070, {13} Areme ve ije Joni fu ijiege renoeno ijia Jesu fu are Gareri ijia urina vakuma do Jodeni Joni fu e do ruoriamo ijia kekei. Fu vierafe Jonire fu do ruorakiro fu ijadufuo vae.
MAT,3,00071," {14} Fu vakoga Joni fu urina kuae, Nana a do ruoradufuo ije na vierafe fuka naebe mare ro na vierafe are na do ruorieno kuae."
MAT,3,00072," {15} Fu ijiege kuaramoga Jesu fu kua, Ije ane ma kuae rove na vierafe abe arekiro a na do ruorieke. No ijiege rekina no maza boeje irere Godi fu kuaruomo ije bino nobe ijuonekiro noka maza boeje fu irinana renoekono kuae. Ijadufuo Joni fu vierafega fune magana fu uri Jesu do ruorae."
MAT,3,00073, {16} Areme Jesu fune do ije arena ajia ruomo ijia Godi fu saove ijadufuo viene daovekoga Kavene fuone fu ume tuvuaeki igege arina Jesudo nigofo ijia kunae.
MAT,3,00074," {17} Areme bu fieke vua be saove gufia kumei, E ije fuka Fari none na oetuavo ijene. Na vame fuone fu kenoeno ije na gaga fuka oemadiemono kumei."
MAT,4,00075,MATIU 4
MAT,4,00076, Setani fu Jesu biesirima ijene
MAT,4,00077, {1} Areme ve ijia Godido Kavene ije fune uri Jesu mesirina dabe ae sao ijia vakoga Setani fu biesiri.
MAT,4,00078, {2} Jesu fu va ae sao ijia ire atona oenoeko muge ro maza foti (40) ijiege furikoga funeka vasia oe.
MAT,4,00079," {3} Fu vasia oema ijia Setani fu kekena kuae, A ma Godido farikuma ni urina mune gure naovo ije kiaga bu una ire rega a ino kuae."
MAT,4,00080," {4} Fu ijiege kuamoga Jesu fu una kuae, Isuibe Godido vua bu buki akae ijia isoeva ije fu ijiege kuae, Barubara bube maza boeje ire ijiaru inoekiro buka Godido vua ije vierafena renoeke."
MAT,4,00081, {5} Jesu fu ijiege kuaramoga Setani fune una kuke mesirina are sidove Jerusareme ijia vae. Fu mesirina vakuma are ireobo bu baname isoevo ijadufuo kubi gafia nujae.
MAT,4,00082," {6} Areme Setani fune uri Jesu kuae, A ma Godido farikuma ni ijia manina umakoena sakaedo gamia arine. Ijadufuo maeje isuibe buki akae ijia bu ijiege isoe, Godire anera fuone boeje kiaga bure a samuagake. "
MAT,4,00083, Ro a umakoekuma bure dabena ari vakuma sakaedo ijia nujakuva abe arina oe kananamike. Ro kuke dia one ije abe kena mune ijia kaniatuasekono kuae.
MAT,4,00084," {7} Fu ijiege kuaramoga Jesu fu una kuae, Godido vua bu isuibe isoeva ijia fu kuke ijiege kuae, Jade E Ireobo Godi jone maeje abe biesirivono kuae."
MAT,4,00085, {8} Areme Setani fune una kuke Jesu mesirina uruo ma kabo ijia ajia vae. Bu ijia ajia usiaena Setani fune uri are irore boege Jesu nijae areme kuke uri ire ni mukore boeje sakae ijia naovo ijene nijae.
MAT,4,00086," {9} Fu ijiege nijaema areme uri kuae, Kame ijia gane. A ivia igia na augesana baname isoekuma na ire boeje a giaema ije una a vajakono kuae."
MAT,4,00087," {10} Areme Jesu fu una gue kuae, Setani garege vane. Ijadufuo maeje vua ije bune isuibe buki akae ijia isoena kuae, Janika E Ireobo Godi jone ma ijiaru fuosukua baname isoekiro jade una e gue iriniavono kuae."
MAT,4,00088, {11} Areme Setani fune ijia arena vakoga anera ijiebe arina Jesu ifejakinu samuae.
MAT,4,00089, Jesu are Gareri ijia zinuivena i fuone mema ijene
MAT,4,00090, {12} Ijiege rena rade Jesu fu fieke Joni bune dabe dibure nujaeva fiena fune una urina are Gareri ijia vae.
MAT,4,00091, {13} Fu va Nasareti keke rove fu naebe ijia finoe ro fu nana va are Kafoniamu ijia fi. Ro are ije fu do Gareri nafuema ivuake ijia ro fu are Zeburunekiro Nafetari guove ijia.
MAT,4,00092, {14} Ro Jesu ije fu uri vaema ije fune izege Asaea e Godido vua vierafena kuaemo fu isuibe kuaema ijiakuma riarekiro fu ijiege rei.
MAT,4,00093," {15} Ro vua ije fu kuaema ije bu ijiege isoe, E aesakae Zeburunekiro Nafetaribuo uifari ije bu do Jodeni gara vame ije davaeneke vaema irifo ijia kari. Ro e ijiebuo aesakae ije bu kua Garerino kuavo ro aesakae ije e Jiusi baki ije buka uruvana ijia kari."
MAT,4,00094, {16} E ije bu vame ise titutema ijia karinoeva ije bu E Ireobo ijadufuo sanaema fuone anuigi ije bune gae. Ro kuke e ije bu vame ise titutema ijia kenoeko kavene buone buneka oekuvejo ije budua bu sanaema ije bune gaevano kuae.
MAT,4,00095," {17} Areme maza ijia Jesu fune uri zinuivena e ije vua nijasiae. Fu nijasiakinu kiae, Maza ije Godi fu oe jone ije samuagiadufuo ije funeka ivuareme. Ijadufuo oe ije ja ire ise binobino ume igadufuo vierafevo ije aregana una oe kuderiana Godido ruano kiae."
MAT,4,00096, Jesu e kimae sanoejo ije kumeno bu fu nuve vaeva ijene
MAT,4,00097, {18} Areme maza be Jesu fu do Gareri daturako nafuema irifo ijia oenoene. Fu oenoeno ijia fu e kimae savo inokiro ino iviegi e Saemoni e ije bu kuke kua Fitano kuavo ijiakiro uvia fuone e Aduru ije biediae. Ro e inokiro ije bu ugie buone ije kena kijume okurianoeve.
MAT,4,00098," {19} Jesu fu biediana kiae, Ni ire ije ja renoejo ije aregaro na nuvediefo. Ja na nuvediega na kijume ije ja karavo ijiege vame nijasiaga ja e kaenamiano kiae."
MAT,4,00099, {20} Fu ijiege kuariamoga bu naebe itire fuone abe akoe ro bume saroruba uri ugie buone ijene ijia arena uri fu nuve vae.
MAT,4,00100, {21} Jesu fune kaenamiana vakuma una kuke ino iviegi e Jemisikiro Joni e Zebedido anafa ije giae. E inokiro ije bu asoe buone Zebedina vanage ijia karina ugie buone ije amaeriave.
MAT,4,00101, {22} Bu ijiege revo ijia Jesu fu kumenoga e inokiro ije bune migegire uri vanage buone ijiakiro asoe buone ije ijia arena ari Jesuna vae.
MAT,4,00102, Jesu fu e vua nijasiakinu e iseki ije karauniaema ijene
MAT,4,00103, {23} Areme Jesu fune ve ijia urina are Gareri guove ijia are isesina e Jiusi bu afuina vua kuaevo ijia aruna oenoekinu vua nijasianoe. Fu vua nijasianoekinu e boeje vua maeje Godi fu izege oe buone ije samuagiadufuo ijene kuarianoe. Fu ijiege renoekinu kuke e iseki boeje adame abekinu ro aekirariaeva ije karauniae.
MAT,4,00104, {24} Fu ijiege renoekoga e bu vua fuone ije dabe kuaena are Siria guove ijia oenoe. Ijadufuo e boeje ijia kariva ije bu vua ije fiena uri e adame ise binobino abevo ijiakina e vajae fiane ro kavene ise urasiaeva ro e ije bu itire sabaekiravo ijene kaenamiana fuone ruae. Bu kuke e vajae garadiaeva ije kaenamiana rovoga fu amaeriamo bu una madiae.
MAT,4,00105, {25} Fu ijiege renoenoga e ka uruvana bu uri fu nuvena dabe arafiri vae. E are Gareriko ije abero e sidove teni (10) guove ijia kariva ijiebe uri fu nuve vae. Ro kuke e sidove Jerusareme ijia kariva ijiakina e aesakae Judia kariva ijene ro e do Jodeni gara kariva uruvana ijiebe uri fu dabe arafiri vae.
MAT,5,00106,MATIU 5
MAT,5,00107, Jesu uruo makave ijia e boeje vua kuariaema ijene
MAT,5,00108, {1}-{2} Areme maza be Jesu fu giake e uruvana bu fuone rovoga fu urina uruo ijia ajia vae. Fu ijia ajia vakoga e vua fuone fievo bu nuve ijia usiaena kari ufuaenoena arekoga fu uri zinuivena vua nijasiae.
MAT,5,00109, Jesu vua e bu oemadiadufuo ije kuariaema ijene 
MAT,5,00110," {3} Jesu fu vua nijasiana kiae, Erarebe bu Godido vierafe ijia kenoekuvega buka naebe manivo ije buka oemaredufuo."
MAT,5,00111, Ijadufuo maeje bu e ijieki ijiebe e ije Godi fu oe buone ijia samuagiamo ijena mazieke.
MAT,5,00112, {4} Ro erarebe bu maza boeje ise buone ijiakiro e guebuo ise ijiebuo oefiane abenoejo e ije buka oemaredufuo. Ijadufuo maeje e ijiege renoejo ije Godire rade oefiane buone ije dasumiaga nido ije bu abenoejo ije bu areke.
MAT,5,00113, {5} Ro erarebe bu maza boeje Godido nidua ijia kabuaekabuaeki karinoejo ije buka oemaredufuo. Ijadufuo maeje e ijieki ije Godi fu rade ire maeje fu vajiako kiaema ije kena vajiake.
MAT,5,00114, {6} Ro erarebe bu maza boeje oe buone ijiakuma Godi irere fu vierafejiamo ijiaru irinana kenoekuae vierafenoejo ije buka ireobo oemaredufuo. Ijadufuo maeje e ijiege vierafenoejo ije Godire ire boeje niduaejiake bume maza boeje ijia oemarekinu karivake.
MAT,5,00115, {7} Ro erarebe bu maza boeje una e gue vierafenoekinu buone oefiane abena ifejianoejo ije buka ireobo oemaredufuo. Ijadufuo maeje e ijiege renoejo ije Godire ve una buone oefiane abena ifejiake.
MAT,5,00116, {8} Ro erarebe maza boeje oe buone buka maturaeva ije buka ireobo oemaredufuo. Ijadufuo maeje e ijieki ije bure Godi gake.
MAT,5,00117, {9} Ro erarebe bu maza boeje e ume igia kariva ije vame kafaevo ije abe nijasiaga bu kafae karijo ije buka ireobo oemaredufuo. Ijadufuo maeje e ijiege renoejo ije Godire kena una anafa fuone reke.
MAT,5,00118, {10} Ro erarebe bu maza boeje irere Godi fu vierafejiamo ijiaru kenoeko e buka vua ise buesina kuaekinu kame vame ise bu isejavaedufuo ijia renoevo ije buka ireobo oemaredufuo. Ijadufuo maeje bu ijiege isejavaenoejo ije bu e ije Godi fu oe buone ijia samuagiamo ijena besu mazieke.
MAT,5,00119, {11} Ro kuke jadua jane una makae none ijia nuvedievo ijadufuo e buka vua ise joesina kuaekinu kame vame ise ijia arafiriake. Bu ijiege rega jaka vajae fiane abena isejavaedufuo.
MAT,5,00120, {12} Ro bu ijiege rekuva nika urukeigia oemarefo. Ijadufuo maeje Godi fune ve gue ire maeje boeje joefuo saove ijia kanafuido ja ije kedufuo. Ro igia fie isuibe e Godido vua vierafena kuaevo ije e bu vame besu ijiege bu kame isekafiaevano kiae.
MAT,5,00121, Jesu fu soru ijiakiro raete bu sanavo ijia bijana kuariaema ijene
MAT,5,00122," {13} Jesu fu vua ijiege kuaria vakuma uri vua be ijiege mena kuariae. Fu kia, Erarebe ja na nuvedievo ije ja e ume igia oenoeva ijiebuo soru ije bu ire sa iga fu madiavo igeki. E bu soru abe ire sa ikuva mariene ije fuka mukore. "
MAT,5,00123, Ro soru mariene fuone ije fu bakirekuma ije fune ma bakido bu dabe akoega e bu ado ijia utanoeke. Ijiege ro ja na nuvedienoega fuka aemiaga ja ijia arekuva ije i ja noefuo menoejo ije funeka mukoe furidufuo.
MAT,5,00124, {14} Ro kuke erarebe ja na nuvedievo ije jaeje ja e aesakae igia kariva ijiebuo raete igeki. Izege e bu sidove be uruo makave ijia kariva ijadufuo raete ije samadukua giavo ijiegero e buka raete jone ije giake.
MAT,5,00125, {15} Ro kuke igia fie. Fu erare raete abe sanana nuriekuma baki ro buka abe samadukua nija fu sanake e bu ijia gakinu karike.
MAT,5,00126, {16} Vame besu ijiege ro ja uri vame none maeje na nijasiaeva ijene kenoekinu karivaga e bu ijia giafo. Bu vame maeje ja kenoevo ije giana una Asoe jone saove gufia fino ije dabe aroeno kiae.
MAT,5,00127, Akae isuiko e Mosisi fu kena vajiaema ijene
MAT,5,00128," {17} Jesu fu ijiege kuaria vakuma areme kiae, Ja na ruaeva ije jade oe isema vierafevo. Jade vierafero na akae isuiko ijiakiro e Godido vua vierafena kuaevo ijiebuo vua bu isuibe isoeva ja giakinu karivo na ije kuriaerega ja arekiro na ijadufuo ruaevaro jade ijiege kuaevo. "
MAT,5,00129, Ro na ruaeva ije name vua buone bu isoena nijasiaeva ijiebuo maeje rega fuka ijiakuma riaredufuo.
MAT,5,00130, {18} Naka ma kuariavo igia fiefo. Na sakae igiakiro saove ije bu uria naovo ijia na vierafe nabe vua akae ijiakiro vua bu isuibe isoeva ije besukua be asike. Ro na vierafe naka ire boeje bu isuibe kuae ruaeva ijiebuo maeje besubesu renoga buka ijiakuma riaredufuo.
MAT,5,00131, {19} Ijadufuo erare akae boeje bu isoeva ijia akae isekube be naebe irinakinu una kairafa gue nijasiaga budua ijiege revo e ije fuka naebe mareme. Ijadufuo fu rade baronemo ijia fu e ije Godi fu oe buone ije samuagiamo ijia fube e anuigi reke. 
MAT,5,00132, Ro erarebe bu akae boeje iriniakinu una kairafa gue nijasiaga budua ijiege revo ije fune mukoe renoene. Ijadufuo fu baronekuma fu e ije Godi fu oe buone ije samuagiamo ijiebuo uvia fuka e anuigi reke.
MAT,5,00133, {20} Ijadufuo igia fie. E be erare e akae nijasiavo ijiakiro e Feresi ijiebuo vame bu kenoevo ije fu naebe asidiana mukoreigia kenoeno e ije fuka naebe manido fu e ije Godi fu oe buone ijia samuagiamo ijena mazieke.
MAT,5,00134, E ije zienoejo ijene
MAT,5,00135," {21} Jesu fu vua ijiege kuaria areme uri kiae, E ije bu akae nijasiavo bu kuae, Jade e kania bu oevono kuaeva ije jane fie. Ijadufuo erare e kana fu baronemo e ije bu mesiri koto rena dabe isekafadufuo."
MAT,5,00136," {22} Rove na kuariako ni fiefo. Erare fu uvia fuone ije ziegafamo ije bu kuke mesiri koto rena dabe isekafadufuo. Ro kuke erare fu uvia fuone be kuako aka e omiseno kuamo, e ije bu mesiri dabe e mamekanu sosi akae samuavo ijiebuo vaga bu dabe isekafadufuo. "
