a,b,diff,d,e,41.4303924,17.0251642
03144,6,98,ohuabono jadahuicca abadsico bacco tadsapa huidsaja jinedepa huaji tanidsa madiraha pocca dsodsosse ojaria pocca huidsajahuaji dsose inanijari huidsaja cacahuadedeni ohuabono mota pohuadsa da iquenahuihuajine naraha pocca dsodsosse huidsajahuaji bacco nanidsapa huidsaja cacahuadedenipa inajidsomanajari ohjuajiraha dsose inanimanajari n,uva bono rradauicca abazico bacco tazapa uizarra rrinedepa uarri taniza madiraha pocca zozosse orraria pocca uizarrauarri zosse inanirrari uizarra cacauadedeni uva bono mota pouaza da iquenauiuarrine naraha pocca zozosse uizarrauarri bacco nanizapa uizarra cacauadedenipa inarrizomanarrari uva rriraha zosse inanimanarrari,,
05196,4,97,nadsapa iadsa bacco najonadsa paorocca ssoquepe dicca inedsa acabo pohua biji pohuajine jore pohua issojore nadsa paoro tedsejemacca huima iadsa huati huati tajaride dio corime ohuadsa huati tajari ajama nahui nidsa jerosarehuaji bacco tiquenedsape ajijaro ssoque jinedepa dsodiodeni dama iquenadsa biji jore issojore iquenadsa dsodio quejena-jarajaridenidsa da iquenadsapa todsepe tojahuitohui najari,nazapa iaza bacco narronaza paorocca ssoquepe dicca ineza acabo poua birri pouarrine rrore poua isso rrore naza paoro tezerremacca uima iaza uati uati tarraride —deo corime ouaza uati tarrari arrama naui niza zerozareuarri bacco tiquenezape arrirraro ssoque rrinedepa zodeodeni dama iquenaza birri rrore isso rrore iquenaza zodeo querrena rrararrarideniza da iquenazapa tozepe torrauitoui narrari,,
08857,3,94,atti ajama najari ajijaro badsima tiadsa nohue onajarope papeodsa dodsotaji ajidsama asehuajicca jesocristodsa quequeriqquimana nahuise tinaridsajarodsa huima dsose tinaridsanihuajine odsa panani epesohuaji esminahuaji peocamohuaji tiatirahuaji saradiceohuaji piradeopeahuaji laodiceahuaji dsose tinaridsaji nade atti mohui tadsan,atti arrama narrari —arrirraro bazima tiaza noue onarrarope papeoza dozo tarri arri zama asiauarricca zeso cristoza quequeriqquimana naui narizarraroza uima zosse tinarizaniuarrine oza panani epesouarri esmirnauarri peocamouarri tiatirauarri saradisiouarri piradeopiauarri laodiseauarri zosse tinarizarri nade atti moui taza,,
09268,5,94,nadsapa nami odinihuaji tanihuaji coro idsimadsa totoqquedsima ecossanissa tajaro qquena-jarahuihuajine totoqquedsima huapihuaji modsassa najarodsa nepi inacossajaro nadsapa huajano mi onaha dsama badsimacca madija ica maidsabaqqui-jarahuihuajine huajano mi onaha jicadsana tappa inadsapa huada pamehe ccaridsadsa madijadsa maidsa-maidsa naridsapoma ccahuitohui,nazapa nami odini uarri taniuarri coro izimaza totoqquezima ecossanissa tarraro qquena rrarauiuarrine totoqquezima uapiuarri mozassa narraroza nepi inacossarraro nazapa uarrano naha zama bazimacca madirra icamaizabaqqui rrarauiuarrine uarrano naha rricazana tappa inazapa uada pamehe ccarizaza madirraza maiza maiza narizapomaccauitoui,,
01387,4,92,nadsama jodeodenicca marinaja fariseodsa jehe quenajaridenipa dseso inoccodsemanajari dsesopa jasinajacca huadadsa madija inanomibaqquidsapa pohuadenidsa pina jasinajacca huada jerajarodsa pohua dsepe ijijarissa najari quenajari pohuadeni bodipa jidapana jasinajacca huadadsa ajajari dsepe siri inanomidsapa dsesodsa huima ina huanani huajine quenajari,nazama zodeodenicca marinarra parizeoza rrehe quenarraridenipa zeso inoccozemanarrari zesopa rrassinarracca uadaza madirra inanomibaqquizapa pouadeniza pina rrassinarracca uada rrerarraroza poua zepe irrirrarissa narrari quenarrari pouadeni bodipa —rridapana rrassinarracca uadaza arrarrari zepe siri inanomizapa zesoza uima inauananiuarrine quenarrari,,
04362,4,92,nadsapa pohuadeni pamahadsa nejecojarina soda dsepe ijijariccadsa tojahuihuajine quenadsa siba bedeni pamee idsabemanedsa ajijarope dsodsecca ajijarope matiacca quenadsa dsaminedsa icodidsemana nedsa qquedse-qquedse quenadsa ojarie ssonedsape matiana paja quenajari nadsapa matia dsesocca dsodsosse tabaqquidsa tojajari nadsapa d quenapomajari,nazapa pouadeni pamahaza —nerrecorrarina zoda zepe irrirrariccaza torrauiuarrine quenaza siba bedeni pamehe izabemaneza —arrirrarope zozecca arrirrarope matiacca quenaza zamineza icodizemana neza qqueze qqueze quenaza orrarie ssonezape —matiana parra –quenarrari nazapa matia zesocca zozosse tabaqquiza torrarrari nazapa quenapomarrari,,
01533,5,91,dsohaopa poccadeni huima mittadsa herodedsa huati tajari diocca dsosenijidsape timecotecca amoneje tidi jidsedsape bica tejerani nanaja najari dsohuao najaro huima herodea mittedsape dsohaodsa boquejaro ponicca maqquidsa dsosedsose nadsa tamine herodepa pocca dsodsose tabaqqui idsosebaqquidsa dsohao damaique nadsa toponi cocoro todsimadsa coro idsimema najari,zouaopa poccadeni uima mittaza erodiza uati tarrari —deocca zossenirrizape timecotecca amonerre tidirrizezape bica terrerani nanarra narrari zouao narraro uima erodia mittezape zouaoza boquerraro ponicca maqquiza zosse zosse naza tamine erodipa pocca zozosse tabaqqui izossebaqquiza zouao dama iquenaza toponi cocoro tozimaza coro izimemanarrari,,
03143,5,91,ofabono jadadsapa motapa huidsaja jinededsa tojahui huajine motapa huidsaja cacahuade deni pohuadenidsa tojahui huajine nadsapa pocca huidsaja ecahuemananihuajine madija qqui inabaqquidsapa pocca huidsaja pohuadenidsa inebojaro nadsapa jinede dsama huaji tanihuaji toccajari nahuidsa madi dsanapoccahui huajine n,uva bono rradazapa motapa uizarra rrinedeza torrauiuarrine motapa uizarra cacauadedeni pouadeniza torrauiuarrine nazapa pocca uizarra ecauemananiuarrine madirra qqui inabaqquizapa pocca uizarra pouadeniza ineborraro nazapa rrinede zama uarri taniuarri toccarrari nauiza madi zanapoccauiuarrine,,
02852,3,90,taide ohuadsa jahui tijedsime jeredsape nidsa dsotodepa odsa jinede najoradsa totema totoqquedsima icahuacossani nedsape jahui tijedsimanihuajine ssamo tanitohui nedsapi amosinidsa tidomohuedsa totoqquedsima cobacoba tiquenedsa odsa jinededsa totoqquedsima iadsa ticatabojidsaji tiqueneraha pohuapa tiadenipi nejecohuajicca tiquejenani nahuitohui tiadenidsa,taide ouaza rraui tirrezime rrerezape niza zotodepa oza rrinede narroraza totema totoqquezima ecossani nezape rraui tirrezimaniuarrine ssamo tanitoui nezape amossiniza tidomo ueza totoqquezima coba coba tiqueneza oza rrinedeza totoqquezima iaza ticataborrizarri tiqueneraha pouapa tiadenipe nerrecouarricca tiquerrenani nauitoui tiadeniza,,
04376,5,88,nadsapa aja jesocca dsodsosse tabaqqui x quenajaridenidsa noccodeni janoqquiri najari quenahui huima mittemanadsapa tote mema nadsa pedorona jadsirema huati huati tajari jehe huimecotedeni isajaeo potemahui dodeo iquejenajarodeni aji dsama jodeahuajicca dsama huaji tanicca madija aji odsa panani jerosaredsa ejete qquide jahui tijajonajarodenima pina ohuatti titahuaribobo canajin,nazapa arra zesocca zozosse tabaqqui quenarrarideniza —noccodeni rranoqquiri narrari quenaui uima mittemanazapa totememanaza pedorona rrazirema uati uati tarrari —rrehe ouimecotedeni izarraeo potemaui zodeo iquerrenarrarodeni arri zama zodeauarricca zama uarri tanicca madirra arri oza panani zerozareza errete qquide rraui tirrarronarrarodenima pina ouatti titauaribobo canarri,,
00563,2,87,nadsapa nahuidsa dseso madija badsima inebobaqquidsapa toqque moranijari odsahuaji toqquedsimanidsapa nahuidsa pocca dsodsosse tabaqquideni iape pohuahuaji huaji jira inedsa huati inajaro jari jidacca huidsajacca ajo ijidsadsa tirico tedseje mina pocani cajimani tahuimarini huati tinapomajaro iadsa huati timanipomaji imittanissa tani huajine inajaro inade,nazapa nauiza zeso madirra bazima inebobaqquizapa toqquemoranirrari ozauarri toqquezimanizapa nauiza pocca zozosse tabaqquideni iape pouauarri uarrirrira ineza uati inarraro —rrari rridacca uizarracca arroi rrizaza tirico tezerre mina pocani carrimani tauimarini uati tinaporraro iaza uati timanipomarri imittanissa taniuarrine inarraro inade,,
02511,5,87,nadsapa jeso huadahuihuaji jahui tojeppidsa nocco tojahuihuajine cobo iquenajari ia maride ia maride nocco tijaji je ica nabote nani quenajari nadsapa jeso totemadsa jojodedsa passo jibabanidsa huati tajari pepeji taji najari nedsape jojode passo jiba jiba najaro naqui dsama jima najaro dsama jima nedsape passo podsippanissa tajaron,nazapa zeso uadauiuarri rraui torreppiza nocco torrauiuarrine cobo iquenarrari —ia maride ia maride nocco tirrarri rre icanabote nani quenarrari nazapa zeso totemaza rrorrodeza passo rribabaniza uati tarrari —peperri tarri narrari nezape rrorrode passo rriba rriba narraro naqui zamarrima narraro zamarrima nezape passo pozippanissa tarraro,,
02516,5,87,huajijiradsa tocorimejine totodacora najari nahui odsa pananicca madijapa ecahuema nahuihuajine cojitidsa biji jore iquenaraha tocorimejine dacoradsa cojiti joca tajojo joca tajojo najari isso naco cojitidsa jore iquenaraha ttai tajojo ttai tajojo najari dsamahuaji tanihuaji madija madide nohuerahuihuaji naco tocorimejine joppa tajari,uarrirriraza tocorimerrine totodacora narrari naui oza pananicca madirrapa ecauemanauiuarrine corritiza birri rrore iquenaraha tocorimerrine dacoraza corriti rroca tarrorro rroca tarrorro narrari isso naco corritiza rrore iquenaraha ttai tarrorro ttai tarrorro narrari zama uarri taniuarri madirra madide nouerauiuarri naco tocorimerrine rroppa tarrari,,
05620,2,87,naraha diopa madija huima siri cajijaridsa tiape ohuadsa bica tinani nahui cajitahui nama najaripa madija pohuadsepe ijijarijine jerani huima bicani inanajarojine jerani najari madijapa diodsa pajissa dio madihui nadsana dio attia ajajari madijapa ohuadsa bica tahui najari diodsa pajissa najarijine pocca huima diodsa pajirenissa tajaro,naraha deopa madirra uimasiri carrirrariza —tiape ouaza bica tinani naui carri taui nama narraripa madirra poua zepe irrirrarirrine rrerani uima bicani inanarrarorrine rrerani narrari madirrapa deoza —parrissa deo madiui nazana deo attia —arrarrari madirrapa ouaza bica taui narrari deoza parrissa narrarirrine pocca uima deoza parrirenissa tarraro,,
06170,2,87,nama quenadsapa pohuadeni bodicca huato huepe carobejaro amoneje dsohuato tajorani maqquideje cappiremanajarodenipe ia dsodsossede dio dsara dsapanideni ihijimana najaro,nama quenazapa pouadeni bodicca uatouepe caroberraro amonerredenicca uima naqui pina maqquiderreccassa narraro amonerre zouato tarrorani maqquiderre cappiremanarrarodenipe ia zozossede deozara zapanideni ihirrimana narraro,,
02628,2,86,nadsama aja odsa jinede aji occa odsadsa timadimanaji nanaridsemana nadsapa nani poccadeni odsahuajira timadimanaccana odsa panani onihihuaji jahui tija jeraccadsape odsa onihihuaji onihihuaji ticahuadijaridsa tejeraji tijipariseomana tejeraji onajaro aji odsa bacco tiquinapojarodsara tiadeni totonajipabaqqui nadsa poccadeni dsama tapa titijipemana nana n,nazama arra oza rrinede arri occa ozaza timadimanarri nanarizemana nazapa nani poccadeni ozauarrira timadimanaccana oza panani onihiuarri rraui tirra rreraccazape oza onihiuarri onihiuarri ticauadirrariza terrerarri tirriparizemana terrerarri onarraro arri oza bacco tiquenaporrarozara tiadeni totonarripabaqqui naza poccadeni zamatapa titirripemana nana,,
03185,3,86,aji dadahuajicca jahuidsa jahuiridsadsa naco madija pohuadenidsa nija bicatinani tiape deni tijani quenahuihuajine tohuini quequenanajari dio atti mamarihuaji jasi tarihuihuajinepa deni toquejenajaridenicca huihuittaridsa jasi tarihuihuajine tohuini quequenanajari jipa qquie imenidsa naqui deni toquejenajaridenicca huihuittaridsa jasi tarihuihuajine tohuini quequenanajari,arri dadauarricca rrauiza rrauirizaza naco madirra pouadeniza nirra bica tinani tiape deni tirrani quenauiuarrine touini quequenanarrari deo atti mamariuarri rrassi tariuiuarrinepa deni toquerrenarraridenicca uiuittariza rrassi tariuiuarrine touini quequenanarrari rripaqquie imeniza naqui deni toquerrenarraridenicca uiuittariza rrassi tariuiuarrine touini quequenanarrari,,
03382,5,86,najaro sihuajadsa sesu huatimade deni pamaa osa capomema najaro onini emauaji tohedajari aji jerusalesa maji tr sa tiqquesape maji se dsa emau bacco tinani,narraro ssiuarraza zeso uatimadedeni pamaha oza capamema narraro onini emaouarri touedarrari,,
05326,3,86,naraha aja jahuijonajaridenipa huima ponima onanaridsani qqui toquena-jararaha ohuadsa huadimanajaride ohuape madija tedseje ajihuaji atti ajihuaji atti inejerade diodsa dada toqquimahuaji naqui madijadsa mohuamohua onejerade dsodiodenicca dio atti mamarihuaji naqui mohuamohua onejerade aji odsadsa amossinihuaji naqui mohuamohua onaridsa-jerade n,naraha arra rrauirronarraridenipa uima ponima onanarizani qqui toquena rrararaha ouaza uadimanarraride ouape madirra tezerre arriuarri atti arriuarri atti inerrerade deoza dada toqquimauarri naqui madirraza moua moua onerrerade zodeodenicca deo atti mamariuarri naqui moua moua onerrerade arri ozaza amossiniuarri naqui moua moua onariza rrerade,,
06293,3,86,naraha iccahuima bica tejeredsa ia dsodsossede dio ia najidsojaripa icahuatteranihuajine nidsa dsotode diocca najidsohue bacco tedsa naqui dsori icanireni huajine ajijaro dsamacca madija jesocristodsa jehe quena-jarajaridenipa najidsohue jiquejeranihuaji toquejenahuitohui naraha iape pohuadenidsa icajima-jeranitohui,naraha icca uima bica terrereza ia zozossede deo ia narrizorraripa icauatteraniuarrine niza zotode deocca narrizoue bacco teza naqui zori icanireniuarrine arrirraro zamacca madirra zeso cristoza rrehe quena rrararraridenipa narrizoue rriquerreraniuarri toquerrenauitoui naraha iape pouadeniza iquerrema rreranitoui,,
08158,4,86,jidacca huajano huajijiradsa pohua emene toccani huajine pohua ccaccaccora najo nadsapa dsama nahuatoponidsama dsoqquehe tonahuanajona naja naraha jidapana dsama jicanicca huada tohuajiredsa iadsa ccajo najari dsoqquehe huajine pohua ccaccorahui ojari icca huima siricca dacorehe inajicanihuajine nama nahui ojari nadsapa papaja nama napoma jarahuitohui n,rridacca uarrano uarrirriraza poua emene toccaniuarrine poua ccaccaccora narronazapa zama nauatoponizama zoqquehe tonauanarronanarra naraha rridapana zama rricanicca uada touarrireza iaza ccaronarrari zoqqueheuarrine poua ccaccoraui orrariui icca uimasiricca dacorehe inarricaniuarrine nama naui orrari nazapa paparra nama napoma rrarauitoui,,
08990,5,86,pohuadenipa dacorehe cajimanajari nami passo naji dsoridsema nahuihuajine nadsapa diocca dsodsosse ohuaha maji ccajonahuihuaji ccajonahui qqui onajari najaripa dio camittehe cajijaricca nanajano dsojo najonajari nadsapa diocca dsodsosse tabaqqui memehuajicca q quenaha huahueri nahuajani-jaridenidsa jadsirema huahua naden,pouadenipa dacorehe carrimanarrari nami passo inarrizorize mananiuarrine nazapa deocca zozosse ouaha marri ccarronauiuarri ccarronaui qqui onarrari narraripa deo camittehe carrirraricca nanarrano zorro narronarrari nazapa deocca zozosse tabaqqui memeuarricca quenaha uaueri nauarranirrarideniza rrazirema uaua nade,,
09036,5,86,nadsapa diocca dsodsosse tabaqqui memehuajicca q quenajarideni tappa inabaqquijari madija mota inajicaridsemanahuihuajine jahui tojajari pohuadenipa najaro huimadsa dsepedeni ijiridsemanahui huajinepa najoremanapojari aja pohuadeni dsepe ijihui huajinecca maji huada abadsico huajano bacco tadsa dsepedeni ijimanajari n,nazapa deocca zozosse tabaqqui memeuarricca quenarrarideni tappa inabaqquirrari madirra mota inarricarize manauiuarrine rraui torrarrari pouadenipa narraro uimaza zepedeni irririze manauiuarrinepa narroremanaporrari arra pouadeni zepe irriuiuarrinecca marri uada abazico uarrano bacco taza zepedeni irrimanarrari,,
09153,5,86,memehuaji qqui onaneje itedsejemacca huima onihi denima jidsa tehe ahuatoni qqui onedsape huajo najaro diocca dsodsosse tabaqqui s quenaha ahuatoma najaripa najidsohue oppina tanicca s nehe madijadsa tojaridsani huajine najoremanajari najaro najidsohuepe jicanicca nidsa najaro najidsohue s nehe tojaridsani nattinipe diocca huadie jicanitohui,memeuarri qqui onanerre itezerremacca uima onihi denima rriza tehe auatoni qqui onezape uarro onarraro deocca zozosse tabaqqui quenaha auatomanarraripa narrizoue oppina tanicca nehe madirraza torrarizaniuarrine narroremanarrari narraro narrizouepe rricanicca niza narraro narrizoue nehe torrarizani nattinipe deocca uadie rricanitoui,,
01546,5,84,nahuidsa pohuadeni madimanahuihuaji madija seso tohui quenadsa jahuijonana canajari madija caji tadsa seso pohua huatimade deni tedseje dsepedeni ijimanahuisa tadsapa jipemanahuihuajine pajerema najarahui nadsapa jina madija madide nohuerahuihuaji jahuijana nanidsana jasi inaccana nahuinade dseson,nauiza pouadeni madimanauiuarri madirra zeso toui quenaza rrauirronana canarrari madirra carri taza zeso poua uatimadedeni tezerre zepedeni irrimanauissa tazapa rripemanauiuarrine parriremana rraraui nazapa —rrina madirra madide nouerauiuarri rrauirrana nanizana rrassi inaccana naui nade zeso,,
02276,1,84,naraha dsama jama nahuihuajine seso atti dacoradsa huati tajari pepeji didi taji najari madijadsa tiqquenaji najari nanaja tocorime madija pina cco ina cosajarissa najari aja jassi taridsajarideni baccoaji tohuedimajari nahuidsa tohuedimadsapa pohua bodicca qquenajari naraha pohua inajisojaradsapa ina biquerajarajari,naraha zamarrama nauiuarrine zeso atti dacoraza uati tarrari —peperri didi tarri narrari madirraza tiqquenarri –narrari nanarra tocorimerrine madirra pina cco inacossarrarissa narrari arra rrassi taririzarrarideni baccouarri touedimarrari nauiza touedimazapa poua bodicca qquenarrari naraha poua inarrizo rrarazapa inabiquera rrararrari,,
06563,4,84,ajihuaji jahuija ajihuaji jahuija naridsedsa najidsohue oppina tanicca inahuanajarope pina cristo najidsohue inahuanajarossa najaro inahuanani badsima qqui toquenajari pohuadsa iquejenajarojine dsoqque iadsa huajira huajira naridsajaro nema inajarope ssire dsoqqueqque taniccadsa jesocristocca madie ahuato inanajaro,arriuarri rrauirra arriuarri rrauirra narizeza narrizoue oppina tanicca inauanarrarope pina cristo narrizoue inauanarrarossa narraro inauanani bazima qqui toquenarrari pouaza iquerrenarrarorrine zoqquehe iaza uarrira uarrira narizarraro nema inarrarope essire zoqqueqque taniccaza zeso cristocca madie auato inanarraro,,
01779,4,83,madija badsima pohua tedsejema jahui tojaja pohua nattihuaji jahuijonaja dsanapoma najari pohuadsa huatidsemonadsa huahua huahua dsanapomanajari nijaha diopa deni tojahui deni tojahui ia dsodsosede onima ccajonajaridsa biqueera tojana tojana dsanapoma najari n,madirra bazima poua tezerrema rraui torrarra poua nattiuarri rrauirronarra zanapomanarrari pouaza uatizemanaza uaua uaua zanapomanarrari —nirra deopa deni torraui deni torraui ia zozossede onima ccarronarrariza biquehera torrana torrana zanapomanarrari,,
04538,5,83,nadsapa aja icatteeidsabaqquimanajaripa dsesocca dsodsosse tabaqqui d quenajaridenidsa eccajonabaqquimanajari nadsapa dsesocca dsodsosse tabaqqui baccohuaji domohuadsa dsama tapa dadade toquejenahuihuajine pohuadenidsa bara quenadsa diodsa huati toquenajari jehe abi dio ajajarideni dsama tapa dadade toquejenahuihuajine pohuadeni acco ticanabaqquina quenajarin,nazapa arra icatterriza baqquimanarraripa zesocca zozosse tabaqqui quenarrarideniza eccarronabaqqui manarrari nazapa zesocca zozosse tabaqqui baccouarri domo uaza zamatapa dadade toquerrenauiuarrine pouadeniza bara quenaza deoza uati toquenarrari —rrehe abi deo arrarrarideni zamatapa dadade toquerrenauiuarrine pouadeni acco ticanabaqquina quenarrari,,
05037,2,83,naraha paoro nahuidsa madidsa najaro odsa panani siba nahuatoni iji ridsani qqui taridsadsapa bodi nacassera tajari nama nadsapa huadahuaji jiradsa todsepe taji dadade madija caji tahuihuaji aja nahuidsa madija jahui ridsajaridenima dseso tahuimaridsa huimaha canadsa ajahuaji huati ajahuaji huati quenajari,naraha paoro nauiza madiza narraro oza panani siba nauatoni irririzani qqui tarizazapa bodi nacassera tarrari nama nazapa uada uarrirriraza tozepetarri dadade madirra carri tauiuarri arra nauiza madirra rrauirizarraridenima zeso tauimariza uimahaha canaza arrauarri uati arrauarri uati quenarrari,,
07552,4,83,aja madija huimasiri sjebotepa diodsa huadi aja dio jararaha ia cacahuade quequenanajaridsa huadi aja madija poccadeni nahuatonijidsa huahuatidsemana najaridenidsa naco huadi tahuitohui nadsama aja huimasiri sqebote mamaidsade attipa ohuana deni ojani ojari onani nanaja nahuitohui nadsapa diodsa dada toqquimahuaji toqquedsimadsa huittaridsapa ohuana dio ojani nahuitohuin,arra madirra uimasiri ssebotepa deoza uadi arra deo rrararaha —ia cacauade quequenanarrariza uadi arra madirra poccadeni nauatonirriza uauatizemana narrarideniza naco uadi tauitoui nazama arra uimasiri ssebote mamaizade attipa —ouana deni orrani orrari onani nanarra nauitoui nazapa deoza dada toqquimauarri toqquezimaza uittarizapa —ouana deo orrani nauitoui,,
00603,5,82,sesopa dsouabatista dsoqquehui quenahui huima mittadsapa pohua motta madihuihuajine madija madide nohue rahuihuaji dajonidsa jahui-jajaro ia badsima naraha madija badsimapa seso toccahui quenahui huima mittemanadsa odsa onihi onihi naridsanicca madija jeso pohua tohui coridsa huapi jahui tojabacossajari dsotorinihuaji jahui huajanijari,zesopa —zouao batista zoqqueui quenaui uima mittazapa poua motta madiuiuarrine madirra madide nouerauiuarri darroniza rrauirrarraro ia bazima naraha madirra bazimapa —zeso toccaui quenaui uima mittemanaza oza onihi onihi narizanicca madirra zeso pouatoui coriza uapi rraui torrabacossarrari zotoriniuarri rraui uarranirrari,,
