line_number,mra,difference,transcribed_text,source_text
02251,0,11,abe mautumu gea ma jou wohidogo onangika hiadono toona manga tau naga kohangoe ngaro o kiakiaka dika ma naga de manga ngongaku ma roriadodoto ahao duru komanga ngoe de ngaro manga memeo de manga ngofa-ngofako ma duru komanga ngoe de manga redio wohidogo onangika la manga redi naga duru kohangoe,abe ma utumu gea ma jou wohidogo onangika hiadono to ona manga tau naga kohangoe ngaro o kia kiaka dika ma naga de manga ngongaku ma roria dodotoo ahao duru ko manga ngoe de ngaro manga memeoo de manga ngofa ngofakoo ma duru ko manga ngoe de manga redioo wohidogo onangika la manga redi naga duru kohangoe
02279,2,8,de o nyawa manga ngoe genangoka iwitaaere unangika ato ufa nogigoro hokogea nomaridoka dika ma sara kade hokogea de utuohi wa amo amokie wato o dautu ai toforauku duru togahoko la nohidorahi ngohina,de o nyawa manga ngoe genangoka iwitaere unangika ato ufa nogigoro hokogea nomariidoka dika masara ka de hokogea de utuohi waamo amokiye wato o dautu ai toforauku duru togahoko la nohidorahi ngohi naa
02210,0,15,de abe matiti o uku nagahi moi toigo tinidotoko nginika abe o nagona dika ihininiki ngohi ona ge a mata-mata ma jou wahitebini de o uku abe matiti una kaidadi wahitebini de' o kangela la utuohi yotebini aihimangoka hogeanga dengade hoka yodadi o huhuba moi ma jouika abe duru iwihisanangi,de abe ma titi o uku nagahi moi toigo tinidotoko nginika abe onagona dika ihinii niiki ngohi ona gea mata mata ma jou wahitebini de o uku abe ma titi una ka idadi wahitebini de o kangela la utuohi yotebini ai himangoka ho gea ngade ngade hoka yodadi o huhuba moi ma jouika abe duru iwihisanangi
02204,0,5,masara nako konotobaua de kiani o narakaika nowohamika abe genangoka mauku koi ihone-honengua genangoka ngaro ani giama magahumu nagahi ma done o kiaka ma utumu namake ani giamino,masara nako ko notobaua de kiani o narakaika nowohamika abe genangoka ma uku ko ihone honengua genangoka ngaro ani giama ma gahumu nagahi ma done o kiaka ma utumu namake ani giamino
02205,3,6,abe da enangoka o gai-gaili ka ihikaika yahikangela o nyawaika de nagali genangoka ma uku ka ihikaika iwango-wango ho ihonengua,abe daenangoka o gai gaili ka ihikaika yahikangela o nyawaika de nagali genangoka ma uku ka ihikaika iwango wango ko ihonengua '
02278,2,7,de una kade wigihene naga o yesusu abe o nazaretoka ma nyawa woboa ma ngekomino wotigioka de una womulaengoka o duduhunu womagahoko ho wopoa-poaka wato o yesusu ahi baluhu o dautu ai totoforauku ngohi tomagahoko la nohidorahi ngohina,de una ka de wigihene naga o yesusu abe o nasaretoka ma nyawa woboa ma ngekomino wotigioka de una womulaengoka o duduhunu womagahoko ho wopoa poaka wato o yesusu ahi baluhu o dautu ai toforauku ngohi tomagahoko la nohidorahi ngohi naa
02211,0,13,de nako o huhuba gea-kiani naga de magahioka la imakiniki de o huhuba mahiaturu de o gahi-gea duru irahai ma sara nako o gahi la imakasapuroka de o tonaka done sarakia nidiai la magahi ireukuoli de hoko genango imaketero hoka ngini na abe ngini kiani nihiniki ngohi de nia hininga magahumu,de nako o huhuba gea kiani naga de ma gahioka la imakiniiki de o huhuba ma hiaturu de o gahi gea duru irahai masara nako o gahi la imakasapuroka de o tonaka done sarakia nidiai la ma gahi ireeukuoli de hokogenangoo imaketero hoka ngini naa abe ngini kiani nihiniiki ngohi de nia hininga ma gahumu
02250,0,13,de o yesus wahingahu wato na duru tagou-goungu tinihingahu abe onagona dika manga tau yanoaka eko manga riadodoto yanoaika eko manga meme manga baba manga ngofa-ngofaka yadoaika eko ngaro manga redi yanoaika la ato ona ihiniki ngohi de yahingahu-ngahu o abari ma rorahai o nyawaika ge ona hao yamake ma utumu ma jouino,de o yesusu wahingahu wato naa duru tagou goungu tinihingahu abe onagona dika manga tau yanoaka eko manga roria dodoto yanoaika eko manga meme manga baba manga ngofa ngofaka yanoaika eko ngaro manga redi yanoaka la ato ona ihiniiki ngohi de yahingahu ngahu o abari ma rorahai o nyawaika gea ona ahao yamake ma utumu ma jouino
02244,0,13,de iwininiki ka de yoihene ai demo-gea de' yatodokana ma sara o yesusu wahitararo nohi onangika wato ahingofa-ngofaka na duru tagou-goungu tinihingahu nako o nyawa yomahinganono manga tiwika onagea duru ihuha yodadi ma jou ai kokawaha la ahao una wahikoano onangika,de iwinii niiki ka de yoihene ai demo gea de yatodokana masara o yesusu wahitararonohi onangika wato ahi ngofa ngofaka naa duru tagou goungu tinihingahu nako o nyawa yomahinganono manga tiwika ona gea duru ihuha yodadi ma jou ai kokawaaha la ahao una wahikoano onangika
02084,0,5,de nagali o budi de o hohedu de o doa-doana de o sade de o daleana de manga hininga yosofarune de naga yahipareta manga badanga ma hafini duru ko itiaiwa dika abeokia dika de ka yodutulaka de ngaro yobodo ma ato yomanoa o dararonoka,de nagali o budi de o hohedu de o doa doana de o sade de o daleana de manga hininga yosafarune de naga yahipareta manga badanga ma hafini duru ko itiaiua dika abe o kia dika de ka yodutulaka de ngaro yobodo ma ato yomanoa o dararonoka
02090,2,20,ma sara ngofeka gea muna ko yahudi ma nyawaua de 'o yesusuna 'o yahudi ma nyawa ma sara muna gea 'o fenisia ma tonakoka de maino mo boa 'abegea 'o aosuru ma tonaka ma honongaka de gea 'emihi romanga 'o asuru ma nyawa,masara o ngofeka gea muna ko o yahudi ma nyawaua de o yesusu una o yahudi ma nyawa masara muna gea o fenisia ma tonakoka de maino moboa abe gea o asuru ma tonaka ma honongaka de gea imihiromanga o asuru ma nyawa
01917,1,18,ho 'o bibiti gee a'ipuraraha ma ngekomuku gee 'ihihanga 'imaketero hoka 'ona gea yoihenino ma jou 'ai demo-demo ma koitedekanuahi de 'o iblihi ma haeke 'iboaino 'onangika de 'idiai la yawohanga ma jou 'ai demo-demo abe yoihenoka,ho o bibiti gea ipuraraha ma ngekomuku gea ihihanga imaketero hoka ona gea yoihenino ma jou ai demo demo ma ko itedekanuahi de o ibilihi ma haeke iboaino onangika de idiai la yawohanga ma jou ai demo demo abe yoihenoka
02406,3,15,de 'o petrusu 'o yakobusu 'o yohanese de 'o andariasa yaino 'unangino la yamotoa dika de ahao 'iwilehato mia guru abe kangano ngona notemoka nato ma jou 'ai tau gea duru 'ikokikiliangoka gia ma titiokia,de o peturusu o yakobusu o yohanese de o andareasa yaino unangino la yamotoa dika de ahao iwileha ato mia guru abe kangano ngona notemoka nato ma jou ai tau gea duru ikokikiliangoka gea ma titi o kia
02412,0,13,anga moi ahao naga ma ngoe idadiohi ma sara gea ma baha koadonuahi abe hoka ngini ahao nihene o parangi manga gigoro itigi-tigino de utu ahao naga inihingahu matiti o nyawa manga gurutika de' yomakete-parangi de' gea ngaro ufa dika de' nihawana igoungu gea kiani idadi ma sara nako gea komatitiua ma baha adonoka,angamoi ahao naga ma ngoe idadiohi masara gea ma baha ko adonuahi abe hoka ngini ahao niihene o parangi manga gigoro itigi tigino de utu ahao naga inihingahu ma titi o nyawa manga gurutika de yomaketeparangi de gea ngaro ufa dika de nihawana igoungu gea kiani idadi masara nako gea ko ma titiua ma baha adonoka
02173,0,12,de ahao yesus wataaere onangika wato ado ngini na totokia ka muruonoka de ahao ngini naga de nia ngongakuoka ngohino de' hokokiahi madekana abe ngohi de ngini homahidogogere moi la hiadono ngini niakunu nimaduru hoka tongohioli ahi datoro hoibooto ahi ngofaka gea niwiaoino ngohino,de ahao o yesusu wataere onangika wato adoo ngini naa totokia ka muruonoka de ahao ngini naga de nia ngongakuoka ngohino de hokokiahi ma dekana abe ngohi de ngini homahidogogere moi la hiadono ngini niakunu nimaaduru hoka to ngohioli ahi datoro ho ibooto ai ngofaka gea niwiaoino ngohino
02022,2,10,ma saraikaika de naga ami oraha o ngo herodiasa abe ami hide ma ngekomo momamakeoka abe ma wange gea o herodese antipasa ai tauoka o ngolo-ngolomo naga anga moi ihirame-rame abe ai ngumuru o taongo gea kawadaenohi,masara ika ika de naga ami oraha o ngo herodiasa abe ami hidee ma ngekomo mamakeoka abe ma wange gea o herodese antipasa ai tauoka o ngolo ngolomo naga angamoi ihirame rame abe ai ngumuru o taongo gea ka wadaenohi
01876,0,2,de wahidoaka onangika o kuaha la kaidadi onango o tokata ma dorou ihititoko,de wahidoaka onangika o kuaha la ka idadi onangoo o tokata ma dorou ihititoko
01862,2,12,de' o yesus wotemo o nyawa utuika genangoka wato nako nanga pareta haniki okia kaidadi hodiai o hiaini ma wangeoka kaidadi-hodiai irorahai ekola koaho hodiai itotorou de o nyawa kaidadi haduhunu manga wowangoka ekola hatoma o kiahi imakiniki de nanga pareta masara ona yomariridoka dika,de o yesusu wotemo o nyawa utuika genangoka wato nako nanga pareta haniiki o kia ka idadi hodiai o hiaini ma wangeoka ka idadi hodiai irorahai ekola koaho hodiai itotorou de o nyawa ka idadi haduhunu manga wowangoka ekola hatoma o kiahi imakiniiki de nanga pareta masara ona yomarii riidoka dika
02036,0,16,masara o nyawa manga ngoe yamake ona gea ma oraha yosobo de yahioriki ato gea o yesusu de' ona abe wininiki gea ho ona yomapopaata yahiduru yotowongi de' o kapongo mata-mataino yoboa yaniniki de' ona yototowongi ona yohira yomahiadonika ho o yesusu de wininiki ka ona ngoli yoturu yomahiadono,masara o nyawa manga ngoe yamake ona gea ma oraha yosobo de yahioriki ato gea o yesusu de ona abe iwinii niiki gea ho ona yomapopaata yahiduru yotowongi de o kapongo mata mataino yoboa yanii niiki de ona yototowongi ona yohira yomahiadonika ho o yesusu de iwinii niiki ka onangoli yoturu yomahiadono
02608,0,5,de aha o yesusu womahimatokoli ai dodiawo yahinotoikali abe ai dodiawo yahinoto gea ona yohupuoka ma kotaino ho yoiki ma hoanika de manga dodagi ma goronaka de o yesusu womahimatoko nangika ma sara iwimake hoka o nyawa moioli abe ai rupa hoka ma dihiraua,de ahao o yesusu womahimatokoli ai dodiawo yahinootoikali abe ai dodiawo yahinooto gea ona yohupuoka ma kotaino ho yoiki ma hoanika de manga dodagi ma goronaka de o yesusu womahimatoko onangika masara iwimake hoka o nyawa moioli abe ai rupa hoka ma dihiraua
01889,3,13,hogea imaketero hoka o iblihi de makokawaha nako o imahikokonango imakokalawana hiadono makuaha imakeregu gea mata-mata iborikalaka de' makuaha duru koiwaka,ho gea imaketero hoka o ibilihi de ma kokawaaha nako imahikokoenangoo imakokalawana hiadono ma kuaha imakeregu gea mata mata iborikalaka de ma kuaha duru ko iwaka
02198,2,3,hogea ngohi tato ona gona dika abe koinalawanua gea ona de ngone homakomotekika,ho gea ngohi tato onagona dika abe ko inalawanua gea ona de ngone homakomotekika
02620,1,5,abe ona o yesusu wahiakunu la ka akunu o heheranga ma dodungu gea yodiai o nyawa manga himahimangoka hokogeadika aika nanga baluhu idodutu o yesusu ai-ade-ade,abe ona o yesusu wahiakunu la ka akunu o heheranga ma dodunguu gea yodiai o nyawa manga hima himangoka hokogea dika aika nanga baluhu idodutu o yesusu ai ade ade
02339,3,10,de aho ma redi ma dutu womatengoli wihidingoto 'ai redi yogoagoanika masara 'una gea iwitomaka dika hokogea idadi ho 'ai huhuloko yamuruonohi naga ho 'onangoli wahidingoto yomatengo-tengo de utu yapohapohadika ma utu yatomakalik,de ahao ma redi ma dutu womatengoli wihidingoto ai redi yogoa goanika masara una gea iwitomaka dika hokogea idadi ho ai huhuloko yamuruonohi naga ho onangoli wahidingoto yomatengo tengo de utu yapoha poha dika ma utu yatomakali
01762,1,3,abe o yohanese wahitiari de wahigaro o nyawaika wato kiani yoporete manga howo-howonika de yomangali ma jouino la una kaidadi waofi manga howono-gea,abe o yohanese wahitiari de wahigaro o nyawaika wato kiani yoporete manga howo howonika de yomangali ma jouino la una ka idadi waofi manga howono gea
01972,0,8,de genangoka naga womatengo 'o yahudi ma nyawa manga do-dotoko ma tau ma hibaluhu abe to'una ai romanga 'o yairusu de 'o yairusu gea woboa 'o yesusino de ka de womahiadono de womamotumuku 'o yesusu ailouoka,de genangoka naga womatengo o yahudi ma nyawa manga dodotoko ma tau ma hibaluhu abe to una ai romanga o yairusu de o yairusu gea woboa o yesusino de ka de womahiadono de womamotumuku o yesusu ai louoka
01966,1,6,de 'aha 'o nyawa genangoka yomulaenge duru yogaho-gahoko 'o yesusika ato migahoko la mia tonakokanaa ngona nohupuoka,de ahao o nyawa genangoka yomulaenge duru yogaho gahoko o yesusika ato migahoko la mia tonakoka naa ngona nohupuoka
01776,0,9,de ipahaino de 'o yohanese iwitaokoka de iwibuioka de gea 'iwibuioka de ahao 'o yesusu woiki 'o galilea ma tonakika la wahingahu-ngahu 'o nyawaika 'o abari ma rorahai ma jouino,de ipahaino de o yohanese iwitaoko de iwibuioka de gea iwibuioka de ahao o yesusu woiki o galilea ma tonakika la wahingahu ngahu o nyawaika o abari ma rorahai ma jouino
01789,0,10,de gea matoka ta duru i vihi fafara o nauru gea de i mapoaka de ahao i matitoko una ngoka,de gea ma tokata duru iwihifafara o nauru gea de imapoaka de ahao imatitokoka unangoka
01760,0,17,ho aho naga touna ailingi o tonaka makakahaka wa amo amokie wa bobanarata wahitararono nyawaiika wato o ngekomo nihidiaioka la nanga baluhu kaidadi woboa genangino nihitiaioka to una ai ngekomogea hokogea ma dihira ihitulihukuoka ma jou o baba ai demo abe wotemo touna ai ngofakika,ho ahao naga to una ai ilingi o tonaka ma kakaahaka waamo amokiye wabobanarata wahitararono o nyawaika wato o ngekomo nihidiaioka la nanga baluhu ka idadi woboa genangino nihitiaioka to una ai ngekomo gea ' hokogea ma dihira ihitulihukuoka ma jou o baba ai demo abe wotemo to una ai ngofakika
01774,2,13,de' genangoka naga o aewani ofuhuku de' o yesus waedekana o tonaka ma kakahaka gea ai futu moruatino de' ai futu moruatino gea o ibilihi ma haeke iwitaili o yesusika ma sara o malaekato naga de de una ho gea o wangi wangeie iwiduhunu unangika,de genangoka naga o aewani o fuhuku de o yesusu ai dekana o tonaka ma kakaahaka gea ai futu moruatino de ai futu moruatino gea o ibilihi ma haeke iwitaili o yesusika masara o malaekatoo naga de de una ho gea o wange wangeiye iwiduhunu unangika
01964,0,8,ho yoboaino yesusino de genangoka iwimake una abe ma dihiraino duru 'iwikitokata ma sara ma orahana de una gea ai hininga itiaioka ho hiadono wogogeruku womaridoka genangoka de womabajuoka de ona iwimake gea de duru yoheranga hohiadono yohawana,ho yoboaino o yesusino de genangoka iwimake una abe ma dihiraino duru iwikitokata masara ma oraha naa de una gea ai hininga itiaioka ho hiadono wogogeruku womariidoka genangoka de womabajuoka de ona iwimake gea de duru yoheranga ho hiadono yohawana
01958,1,18,de 'ahao 'o yesus woleha 'enangika wato 'ani romanga 'o naguna de ma toka taipaluhu 'o yesusika ato ngomi naa mia romanga 'o ligeono 'anga moi-ngominaa duru komia ngoe,de ahao o yesusu woleha enangika wato ani romanga onaguna de ma tokata ipaluhu o yesusika ato ngomi naa mia romanga o legiono angamoi ngomi naa duru ko mia ngoe
01874,0,18,de ma oraha gea 'o yesusu wodoa daku 'olokuie de gea wodoaie de kowomatengouwa anga moi 'una wa hokino manga ngoe 'abe womaputuhoka wato 'ona gea 'iwiniiki dakuie ho 'ona yomahiadonieoka de genangoka yomatomuino 'o doomu moi,de ma oraha gea o yesusu wodoa daku o lokuiye de gea wodoaiye de ko womatengoua angamoi una wahokino manga ngoe abe womaputuhoka wato ona gea iwiniiki dakuiye ho ona yomahiadoniyeoka de genangoka yomatoomuino o doomu moi
02020,0,17,o yohanese yaedemo gea ongo herodiasa moihene ho midohata o yohanesika de hiadono 'ami hininga migogonuku ho naga 'ami hide la mitoma 'unangika ma sara muna komadadi uwa mitoma anga moi 'ami rokata 'o herodese wi goana 'o yohanese,o yohanese ai demo gea o ngo herodiasa moihene ho midohata o yohanesika de hiadono ami hininga migogonuku ho naga ami hidee la mitoma unangika masara muna ko madadiua mitoma angamoi ami rokata o herodese wigoana o yohanese
02034,2,8,ma sara naga o nyawa manga ngoe abe mangioka gea yohupu yowohama hiadono o yesus de yangimoi de yahinoto gea koiwa manga oraha la kaidadi yolomo howotemo onangika wato abeika ngone hosobo ma homoaika la genangoka ka ngone dika de kaidadi ma hohutulu homahiaini,masara naga o nyawa manga ngoe abe ma ngioka gea yohupu yowohama hiadono o yesusu de yangimoi de yahinooto gea ko iwa manga oraha la ka idadi yolomo ho wotemo onangika wato abeika ngone hosobo ma homoaika la genangoka ka ngone dika de ka idadi ma hohutulu homahiaini
01860,3,8,ne' nagali o nyawa utu genangoka o yesus iwi goana de yolingiri ma titi la ato nako yodiai ko itiaiua ka idadi iwihohowono ho yamuruono naga duru iwilega-lega o yesusika done ai giama ihelu-heluku wihitogumu ato nako wihitogumu ohiaini ma wangeoka gea wahowonoka,de nagali o nyawa utu genangoka o yesusu iwigoana de yolingiri ma titi la ato nako wodiai ko itiaiua ka idadi iwihohowono ho yamuruono naga duru iwilega lega o yesusika done ai giama ihelu heluku wihitogumu ato nako wihitogumu o hiaini ma wangeoka gea wahowonoka
02159,4,7,'o petrusu ka hokogea dika wotemo anga moi ya kokitomomonoka de duru yohawana de 'o kiahi wato wotemo ma kowohiorikokauwa,o peturusu ka hokogea dika wotemo angamoi yakokitomomonoka de duru yohawana de o kiahi wato wotemo ma ko wohiorikokaua
02171,0,13,de womatengo yowoe-woeino mipaluhu wato ahi guru marai hokona ma titi hiadono yomaketeributu ngohina ahi hide la ahi ngofaka tiao ngonaika anga moi 'iwikitokatoka de matoka-tagea 'iwihidiai la hiadono womouoka,de womatengo yowoe woeino wipaluhu wato ahi guru marai hokonaa ma titi hiadono yomaketeribuutu ngohi naa ahi hidee la ahi ngofaka tiao ngonaika angamoi iwikitokatoka de ma tokata gea iwihidiai la hiadono womouoka
