line_number,'mra', 'fuzz_partial', 'levin',transcribed_text,source_text
02413,0,98,6,de o nyawa yomakikapongo moi de manga musu yomaketeparangi eko o nuhu hinoto de yomaakumusu de ma oraha gea o tonaka idadi ihikelu kelu ma ngoe de o tonakautuoli o nyawa ko manga ngoe yohonenge anga moi naga o hafini ma amoko,de o nyawa yomahikapongo moi de manga musu yomaketeparangi eko o nuuhu hinooto de yomakumusu de ma oraha gea o tonaka idadi ihikelu kelu ma ngoe de o tonaka utuoli o nyawa ko manga ngoe yohonenge angamoi naga o hafini ma amoko
02407,0,97,7,muruonoka de yahao idadi ma jou ai tauika de ma dodungu okia abe yahao idadi la miamake de g enangino mihioriki abe tigioka ma karusa ka gea,muruonoka de ahao idadi ma jou ai tauika de ma dodunguu o kia abe ahao idadi la miamake de genangino mihioriki abe itigioka ma karusaka gea
01902,3,98,24,de ipahaino de o yesusu ma moioli o nyawa wadotoko o galilea ma akere ma ngooto ma datekoka de duru kayowoeokaholi yomatoomoino ho o yesusu womatururu o ngotiroko de wogogeruku o ngotiroka geea la wadotoko onangika de abe o nyawa yowoe woe yomafafoino ge enangoka ona kaodu dungoka dika de iwihigihene unangika e mpnyyutnn 08,de ipahaino de o yesusu ma moioli o nyawa wadotoko o galilea ma akere ma ngooto ma datekoka de duru ka yowoeokaholi yomatoomuino ho o yesusu womaturuuru o ngotiroko de wogogeruku o ngotiroka gea la wadotoko onangika de abe o nyawa yowoe woe yomafafoino genangoka ona ka o dudungoka dika de iwihigihene unangika
01916,0,100,0,abe una wato o bibiti gea wohibarihika gea ma jou ai demo demo,abe una wato o bibiti gea wohibarihika gea ma jou ai demo demo
02091,0,97,9,de o yahudi ma nyawa ona koyomaketedo diabouwa de o azuru ma nyawa abe koyaigouwa onangika ho o yesus ma oraha womipaluhu de wahiketero abe ona ko o yahudi ma nyawauwa wahiromanga o kaho,de o yahudi ma nyawa ona ko yomaketedodiawoua de o asuru ma nyawa abe ko yaigoua onangika ho o yesusu ma oraha womipaluhu de wahiketero abe ona ko o yahudi ma nyawaua wahiromanga o kaho
02085,2,97,19,de gee ma tamata ma datoro ma dorou ka o nyawa manga hiningainodika ipuda ho gea hi adono yahihowono ma jouika em ppeyutn 08,de gea mata mata ma datoro ma dorou ka o nyawa manga hiningaino dika ipuda ho gea hiadono yahihowono ma jouika
02594,3,98,21,de ipaha o hiaini ma futuku de o ngo maria madalena de momatengo o ngo maria geato yakobusu ngoi meme de o ngo salome ona yaruange yomakiniiki yo ija o minya abe ma bounu duru ma ho haeloa abe ma ngo feka yaruange gea ato joiki o yesusu ai lungunika la ai honenguku iwihituagi abehoka manga biaha yotobadiai o nyawa manga honengika em penyutn 08,de ipaha o hiaini ma futuku de o ngo maria madalena de momatengo o ngo maria gea to yakobusu ngoi meme de o ngo salome ona yaruange yomakiniiki yoija o minya abe ma bounu duru ma hohailoa abe ma ngofeka yaruange gea ato yoiki o yesusu ai lungunika la ai honenguku iwihituagi abe hoka manga biaha yotobadiai o nyawa manga honengika
02245,3,97,8,abe nako o aewani o unta de o populaki ma lakoika iwohama la ato ma honongaika ihapongo ena ngohi gee hatoli igapanga ma sara nako o ona yokaya kaya ato yodadi to una ai kokawaha abe wahikoano ona ngohi duru ihuha yohapongo ma jou ai ngiie,abe nako o aewani o unta de o populaki ma lakoika iwohama la ato ma honongaika ihapongo enangohi gea hatoli igapanga masara nako ona yokaya kaya ato yodadi to una ai kokawaaha abe wahikoano onangohi duru ihuha yohapongo ma jou ai ngiiye
02117,3,93,22,de ma oraha gea naga o farisi manga doomuino ma nyawa yoboa o yesusino de iwiributu nangika la ato iwihitaili de to ona manga demo de iwitemo ato ngomi ma rai migahoko la o he heranga nomihimatoko naalakaidadi miamake de mihioriki ngona o horogaka de nauku eko kouwa,de ma oraha gea naga o farisi manga doomuino ma nyawa yoboa o yesusino de iwiribuutu unangika la ato iwihitaili de to ona manga demo de iwitemo ato ngomi marai migahoko la o heheranga nomihimatoko mia himangoka naa la ka idadi miamake de mihioriki ngona o horogaka de nauku eko koua
02251,1,98,8,abe ma utumu gee ma jou wohidogo onangika hiadono to ona manga tau naga kohangoe ngaro okia kiaka dika ma naga de manga ngo ngaku ma roria dodoto ahao duru ko manga ngoe de ngaro manga memeo de manga ngofa ngofako ma duru ko manga ngoe de manga redio wohidogo onangika la manga redi naga duru koha ngoe,abe ma utumu gea ma jou wohidogo onangika hiadono to ona manga tau naga kohangoe ngaro o kia kiaka dika ma naga de manga ngongaku ma roria dodotoo ahao duru ko manga ngoe de ngaro manga memeoo de manga ngofa ngofakoo ma duru ko manga ngoe de manga redioo wohidogo onangika la manga redi naga duru kohangoe
02279,2,96,10,de o nyawa manga ngoe ge enangoka iwitaaere unangika ato ufa nogigoro hokogea nomaridoka dika ma sara ka de hokogea de utuohi wa amo amokie bato o dautu ai toforauku duru togahoko la nohidorahi ngohenaa,de o nyawa manga ngoe genangoka iwitaere unangika ato ufa nogigoro hokogea nomariidoka dika masara ka de hokogea de utuohi waamo amokiye wato o dautu ai toforauku duru togahoko la nohidorahi ngohi naa
02210,0,97,14,de abe ma titi ouku nagahi moi to igo tinidotoko nginika abe o nagonadika ihiniiniiki ngohi ona gee yamata mata ma jou wahitebini de o uku abe ma titi una kaidadi wahitebini de o kangela la utuohi yotebini aihimangoka hogea nga de ngade hoka yodadi o hu huba moi ma jouika abe duru iwisisanangi,de abe ma titi o uku nagahi moi toigo tinidotoko nginika abe onagona dika ihinii niiki ngohi ona gea mata mata ma jou wahitebini de o uku abe ma titi una ka idadi wahitebini de o kangela la utuohi yotebini ai himangoka ho gea ngade ngade hoka yodadi o huhuba moi ma jouika abe duru iwihisanangi
02204,2,98,6,ma sara nako konotobauwa de kiani o narakaika nowohamika abe genangoka ma uku koi ihone ho nenguwa genangoka ngaro ani giama ma gahumu nagahi ma done o kiaka ma utumu namake ani giamino,masara nako ko notobaua de kiani o narakaika nowohamika abe genangoka ma uku ko ihone honengua genangoka ngaro ani giama ma gahumu nagahi ma done o kiaka ma utumu namake ani giamino
02205,3,97,6,abe daenangoka o gai gaili kaihikaika yahikangela o nyawaika de nagali ke nangoka ma uku kaihikaika iwango wango ho ihonenguwa,abe daenangoka o gai gaili ka ihikaika yahikangela o nyawaika de nagali genangoka ma uku ka ihikaika iwango wango ko ihonengua
02278,3,98,7,ne una ka de wigihene naga o yesusu abe o nazaretoka ma nyawa woboa ma ngekomino wotigioka de una womulaengoka o du duhunu womagahoko ho wopoa poa ka wato o yesusu ahi baluhu o dautu ai totoforauku ngohi tomagahoko la nohidorahi ngohinaa,de una ka de wigihene naga o yesusu abe o nasaretoka ma nyawa woboa ma ngekomino wotigioka de una womulaengoka o duduhunu womagahoko ho wopoa poaka wato o yesusu ahi baluhu o dautu ai toforauku ngohi tomagahoko la nohidorahi ngohi naa
02211,0,98,8,de nako o hu huba geakiani naga de ma gahioka la imakiniiki de o hu huba ma hiaturu de o gahi gea duru irahai ma sara nako o gahi la imakasapuroka de o tonaka done sarakia nidiai la ma gahi ireukuoli de hokoge enangoo imaketero hoka ngini na abe ngini kiani nihiniiki ngohi de nia hininga ma gahumu,de nako o huhuba gea kiani naga de ma gahioka la imakiniiki de o huhuba ma hiaturu de o gahi gea duru irahai masara nako o gahi la imakasapuroka de o tonaka done sarakia nidiai la ma gahi ireeukuoli de hokogenangoo imaketero hoka ngini naa abe ngini kiani nihiniiki ngohi de nia hininga ma gahumu
02250,0,97,15,de o yesusu wahingahu bato na duru tagou goungu tinihingahu abe o nagonadika manga tau yanoaka eko manga riadodoto yanoaika eko manga meme manga baba manga ngofa ngofaka yadoaika eko ngaro manga redi yanoaika la ato ona ihiniiki ngohi de yahingahu ngahu o abari ma do rahai o nyawaika gee o nahao yamake ma utumu ma jouino,de o yesusu wahingahu wato naa duru tagou goungu tinihingahu abe onagona dika manga tau yanoaka eko manga roria dodoto yanoaika eko manga meme manga baba manga ngofa ngofaka yanoaika eko ngaro manga redi yanoaka la ato ona ihiniiki ngohi de yahingahu ngahu o abari ma rorahai o nyawaika gea ona ahao yamake ma utumu ma jouino
02244,0,98,9,de iwiniiniiki ka de yoihene ai demo gea de yaato dokana ma sara o yesusu wahitararonohi onangika wato ahi ngofa ngofaka naduru tagou goungu tinihingahu nako o nyawa yomahinganono manga tiwika ona gee aduru ihuha yodadi ma jou ai kokawaha la ahao una wahikoano onangika,de iwinii niiki ka de yoihene ai demo gea de yatodokana masara o yesusu wahitararonohi onangika wato ahi ngofa ngofaka naa duru tagou goungu tinihingahu nako o nyawa yomahinganono manga tiwika ona gea duru ihuha yodadi ma jou ai kokawaaha la ahao una wahikoano onangika
02084,0,97,8,de nagali o budi de o hohedu de o doa doana de o sade de o daleana de manga hininga yosofarune de naga yahipareta manga badanga ma hafini duru koitiaiwadika abi okiadika de kayodutulaka de ngaro yobodo ma ato yomanoa o dararonoka,de nagali o budi de o hohedu de o doa doana de o sade de o daleana de manga hininga yosafarune de naga yahipareta manga badanga ma hafini duru ko itiaiua dika abe o kia dika de ka yodutulaka de ngaro yobodo ma ato yomanoa o dararonoka
02090,2,97,10,ma sara ngofeka gea muna ko o yahudi ma nyabauwa de o yesus uuna o yahudi ma nyawa ma sara muna gea o fenisia ma tonakoka de baino moboa abe gea o asuru ma tonaka ma honongaka de gea imihiromanga o azuru ma nyawa,masara o ngofeka gea muna ko o yahudi ma nyawaua de o yesusu una o yahudi ma nyawa masara muna gea o fenisia ma tonakoka de maino moboa abe gea o asuru ma tonaka ma honongaka de gea imihiromanga o asuru ma nyawa
01917,0,97,6,ho o bibiti gee ipuraraha ma ngekomuku gee ihihanga imaketerohoka ona gea yoihenino ma jou ai demo demo ma koitedekanuahi de o iblihi ma haeke iboaino onangika de idiai la yawohanga ma jou ai demo demo abi yoihenoka,ho o bibiti gea ipuraraha ma ngekomuku gea ihihanga imaketero hoka ona gea yoihenino ma jou ai demo demo ma ko itedekanuahi de o ibilihi ma haeke iboaino onangika de idiai la yawohanga ma jou ai demo demo abe yoihenoka
02406,0,97,8,de o petrusu o yakobusu o yohanese de o andariasa yaino unangino la yamotoadika de yahao iwileha ato mia guru abe kangano ngona notemoka nato ma jou ai tau gee duru ikoki kiliangoka gee ma titi okia,de o peturusu o yakobusu o yohanese de o andareasa yaino unangino la yamotoa dika de ahao iwileha ato mia guru abe kangano ngona notemoka nato ma jou ai tau gea duru ikokikiliangoka gea ma titi o kia
02412,0,98,11,anga moi ahao naga ma ngoe idadiohi ma sara gea ma baha koadonuahi abehoka ngini ahao nihene o parangi manga gigoro itigi tigino de utu ahao naga inihingahu ma titi o nyawa manga gurutika de yomakete parangi de gea ngaro ufa dika de nihawana igooungu gea kiani idadi ma sara nako gea komatitiuwa ma baha adonoka,angamoi ahao naga ma ngoe idadiohi masara gea ma baha ko adonuahi abe hoka ngini ahao niihene o parangi manga gigoro itigi tigino de utu ahao naga inihingahu ma titi o nyawa manga gurutika de yomaketeparangi de gea ngaro ufa dika de nihawana igoungu gea kiani idadi masara nako gea ko ma titiua ma baha adonoka
02173,0,97,12,de ahao yesusu wataaere onangika wato ado ngini naa totokia kamuruonoka de ahao ngini naga de nia ngo ngakuoka ngohino de hokokiahi ma dekana abe ngohi de ngini homahidogogere moi la iadono ngini niakunu nimaduru hoka tongohioli ahi datoro hoibooto ahi ngofaka gee niwiaoino ngohino,de ahao o yesusu wataere onangika wato adoo ngini naa totokia ka muruonoka de ahao ngini naga de nia ngongakuoka ngohino de hokokiahi ma dekana abe ngohi de ngini homahidogogere moi la hiadono ngini niakunu nimaaduru hoka to ngohioli ahi datoro ho ibooto ai ngofaka gea niwiaoino ngohino
02022,2,96,13,ma sara ikaika de naga ami oraha o ngo herodiasa abe ami hide ma ngekomo momamakeoka abe ma wange gea o herodese antipasa ai tauoka o ngolo ngolomo naga anga moi ihirameramee abe ai ngumuru o tawongo gee akawa daenohi,masara ika ika de naga ami oraha o ngo herodiasa abe ami hidee ma ngekomo mamakeoka abe ma wange gea o herodese antipasa ai tauoka o ngolo ngolomo naga angamoi ihirame rame abe ai ngumuru o taongo gea ka wadaenohi
01876,0,97,3,de wahidoaka onangika o kuaha la kaidadi ona ngo o tokata ma dorou ihititoko,de wahidoaka onangika o kuaha la ka idadi onangoo o tokata ma dorou ihititoko
01862,0,97,16,de o yesusu wotemo o nyawau tuika ge enangoka bato nako nanga pareta haniiki okia kaidadi hodiai o hiaini ma wangeoka kaidadi hodiai iro rahai ekola koaho hodiai ito torou de o nyawa kaidadi haduhunu manga wowangoka ekola hatoma okiahi imakiniiki de nanga pareta ma sara ona yomariri doka dika,de o yesusu wotemo o nyawa utuika genangoka wato nako nanga pareta haniiki o kia ka idadi hodiai o hiaini ma wangeoka ka idadi hodiai irorahai ekola koaho hodiai itotorou de o nyawa ka idadi haduhunu manga wowangoka ekola hatoma o kiahi imakiniiki de nanga pareta masara ona yomarii riidoka dika
02036,2,97,12,ma sara o nyawa manga ngoe yamake ona gea ma oraha yosobo de yahioriki ato gee o yesusu de ona abe winiiniiki gee ho ona yomapopaata yahiduru yotowongi de o kapongo ma tamataino yoboa yaniiniiki de ona yoto towongi ona yohira yomahiadonika ho o yesusu de winiiniiki ka ona ngoli yoturu yomahiadono,masara o nyawa manga ngoe yamake ona gea ma oraha yosobo de yahioriki ato gea o yesusu de ona abe iwinii niiki gea ho ona yomapopaata yahiduru yotowongi de o kapongo mata mataino yoboa yanii niiki de ona yototowongi ona yohira yomahiadonika ho o yesusu de iwinii niiki ka onangoli yoturu yomahiadono
02608,3,98,7,de aha o yesusu womahimatokoli ai dodiawo yahinotoikali abe ai dodiawo yahinoto gea ona yohupuoka ma kotaino ho yoiki ma hoanika de manga do dagi ma goronaka de o yesusu womahimatoko nangika ma sara iwimake hoka o nyawa moioli abe ai rupa hoka ma dihirauwa,de ahao o yesusu womahimatokoli ai dodiawo yahinootoikali abe ai dodiawo yahinooto gea ona yohupuoka ma kotaino ho yoiki ma hoanika de manga dodagi ma goronaka de o yesusu womahimatoko onangika masara iwimake hoka o nyawa moioli abe ai rupa hoka ma dihiraua
01889,3,94,14,hogee imaketerohoka o iblihi de ma kokawaha nako o imahi kokoonangoo imakokalawana hiadono ma kuaha imakeregu gee ma tamata ibori kalaka de ma kuaha duru koiwaka,ho gea imaketero hoka o ibilihi de ma kokawaaha nako imahikokoenangoo imakokalawana hiadono ma kuaha imakeregu gea mata mata iborikalaka de ma kuaha duru ko iwaka
02198,5,95,20,hogee ngohi tato o nagona dika abe koinalawanuwa gee ona de ngone homakomotekika em pnyunn 708,ho gea ngohi tato onagona dika abe ko inalawanua gea ona de ngone homakomotekika
02620,3,96,27,abe o ona o yesusu wahiakunu la ka akunu o he heranga ma dodunguu gee yajodiai o nyawa manga himahimangoka hokogeadika aika nanga baluhu ido dutu o yesusu aiade ade em ppeyyuntnn 08,abe ona o yesusu wahiakunu la ka akunu o heheranga ma dodunguu gea yodiai o nyawa manga hima himangoka hokogea dika aika nanga baluhu idodutu o yesusu ai ade ade
02339,0,99,6,de aho ma redi ma dutu womatengoli wihidingoto ai redi yogoa goanika ma sara una gea iwitomaka dika ho kogea idadi ho ai hu huloko yamuruonohi naga ho onangoli wahidingoto yomatengo tengo de utu yapohapohadika ma utu yatomakali,de ahao ma redi ma dutu womatengoli wihidingoto ai redi yogoa goanika masara una gea iwitomaka dika hokogea idadi ho ai huhuloko yamuruonohi naga ho onangoli wahidingoto yomatengo tengo de utu yapoha poha dika ma utu yatomakali
01762,0,99,2,abe o yohanese wahitiari de wahigaro o nyawaika wato kiani yoporete manga howo howonika de yomangaali ma jouino la una kaidadi waofi manga howono gea,abe o yohanese wahitiari de wahigaro o nyawaika wato kiani yoporete manga howo howonika de yomangali ma jouino la una ka idadi waofi manga howono gea
01972,0,98,6,de ge enangoka naga womatengo o yahudi ma nyawa manga do doto koma tau ma hibaluhu abe to una ai romanga o yairusu de o yairusu gee woboa o yesusino de ka de womahiadono de womamotumuku o yesusu ai louoka,de genangoka naga womatengo o yahudi ma nyawa manga dodotoko ma tau ma hibaluhu abe to una ai romanga o yairusu de o yairusu gea woboa o yesusino de ka de womahiadono de womamotumuku o yesusu ai louoka
01966,0,97,5,de aha o nyawa ge enangoka yomulaenge duru yogaho gahoko yesusika ato migahoko la mia tonakoka naa ngona nohupuoka,de ahao o nyawa genangoka yomulaenge duru yogaho gahoko o yesusika ato migahoko la mia tonakoka naa ngona nohupuoka
01776,0,93,11,de ipahaino de o yohanese iwitaokoka de ibi buioka de gea ibi buioka de ahao o yesusuu woiki o galilea ma tonakika la wahingahu ngahu o nyawaika o habari ma do dahai ma jouino,de ipahaino de o yohanese iwitaoko de iwibuioka de gea iwibuioka de ahao o yesusu woiki o galilea ma tonakika la wahingahu ngahu o nyawaika o abari ma rorahai ma jouino
01789,0,95,5,de gea matoka taduru iwihifafara o nauru gea de imapoaka de ahao imatitoko unangoka,de gea ma tokata duru iwihifafara o nauru gea de imapoaka de ahao imatitokoka unangoka
01760,0,97,14,ho ahao naga to una ailingi o tonaka ma kakahaka wa amo amokie wabo banarata wahitararono nyawaika wato o ngekomo nihidiaioka la nanga baluhu kaidadi woboa ge enangino nihitiaioka to una ai ngekomo gea ho kogea ma dihira ihitulihukuoka ma jou ababa ai demo abe wotemo to una ai ngofakika,ho ahao naga to una ai ilingi o tonaka ma kakaahaka waamo amokiye wabobanarata wahitararono o nyawaika wato o ngekomo nihidiaioka la nanga baluhu ka idadi woboa genangino nihitiaioka to una ai ngekomo gea hokogea ma dihira ihitulihukuoka ma jou o baba ai demo abe wotemo to una ai ngofakika
01774,3,97,28,de ge enangoka naga o aewani ofuhuku de o yesusuwa idekana o tonaka ma ka kahaka gea ai futu moruatino de ai futu moruatiino gea o ibilihi ma haeke iwitaili o yesusika ma sara o malaekato naga de de una hogea o wange wangeie iwiduhunu unangika eemppnnyutn 08,de genangoka naga o aewani o fuhuku de o yesusu ai dekana o tonaka ma kakaahaka gea ai futu moruatino de ai futu moruatino gea o ibilihi ma haeke iwitaili o yesusika masara o malaekatoo naga de de una ho gea o wange wangeiye iwiduhunu unangika
01964,0,98,10,ho yoboaino yesusino de g enangoka iwimake una abe ma dihiraino duru iwikitokata ma sara ma orahanaa de una gea ai hininga itiaioka hohiadono wogogeruku womaridoka ge enangoka de womabajuoka de ona iwimake gea de duru yoheranga hohiadono yohawana,ho yoboaino o yesusino de genangoka iwimake una abe ma dihiraino duru iwikitokata masara ma oraha naa de una gea ai hininga itiaioka ho hiadono wogogeruku womariidoka genangoka de womabajuoka de ona iwimake gea de duru yoheranga ho hiadono yohawana
01958,0,98,6,de ahao o yesus woleha enangika wato ani romanga o naguna de ma tokata ipaluhu o yesusika ato ngomi naa mia romanga o ligeono anga moi ngominaa duru ko mia ngoe,de ahao o yesusu woleha enangika wato ani romanga onaguna de ma tokata ipaluhu o yesusika ato ngomi naa mia romanga o legiono angamoi ngomi naa duru ko mia ngoe
01874,0,95,15,de ma oraha gea o yesusu wodoa daku o lokuie de gea wodoa ie de kowomatengouwa anga moi u una wahokino manga ngoe abe womaputuhoka bato ona gee iwiniiki dakuie ho ona yomahiadonieoka de ge enangoka yomatoomoino o doomu moi,de ma oraha gea o yesusu wodoa daku o lokuiye de gea wodoaiye de ko womatengoua angamoi una wahokino manga ngoe abe womaputuhoka wato ona gea iwiniiki dakuiye ho ona yomahiadoniyeoka de genangoka yomatoomuino o doomu moi
02020,0,98,7,o yohanese ai demo gee o ngo herodiasa moihene ho midohata o yohanesika de hiadono ami hininga migogonuku ho naga ami hide la mitoma unangika ma sara muna ko madadiuwa mitoma anga moi ami rokata o herodese wi goana o yohanes,o yohanese ai demo gea o ngo herodiasa moihene ho midohata o yohanesika de hiadono ami hininga migogonuku ho naga ami hidee la mitoma unangika masara muna ko madadiua mitoma angamoi ami rokata o herodese wigoana o yohanese
02034,2,98,10,ma sara naga o nyawa manga ngoe abe ma ngiioka gea yohupu yowohama hiadono o yesusu de yangimoi de yahinoto gea koiwa manga oraha la kaidadi yolomo howotemo o nangika wato abeika ngone hosobo ma homoaika la ge enangoka ka ngone dika de kaidadi ma hohutulu homahiaini,masara naga o nyawa manga ngoe abe ma ngioka gea yohupu yowohama hiadono o yesusu de yangimoi de yahinooto gea ko iwa manga oraha la ka idadi yolomo ho wotemo onangika wato abeika ngone hosobo ma homoaika la genangoka ka ngone dika de ka idadi ma hohutulu homahiaini
01860,0,98,9,de nagali o nyawa utu ge enangoka o yesusu iwigoana de yolingiri ma titi la ato nako yodiai koitiaiuwa kaidadi iwiho howono ho yamuruono naga duru iwilega lega o yesusika done ai giama ihelu heluku wihitogumu ato nako wihitogumu ohiaini ma wangeoka gee wahowonoka,de nagali o nyawa utu genangoka o yesusu iwigoana de yolingiri ma titi la ato nako wodiai ko itiaiua ka idadi iwihohowono ho yamuruono naga duru iwilega lega o yesusika done ai giama ihelu heluku wihitogumu ato nako wihitogumu o hiaini ma wangeoka gea wahowonoka
02159,3,96,8,o petrusu kaho kogeadika wotemo anga moi yakokitomomonoka de duru yohawana de okiahi wato wotemo ma kowohiorikokauwa,o peturusu ka hokogea dika wotemo angamoi yakokitomomonoka de duru yohawana de o kiahi wato wotemo ma ko wohiorikokaua
