"language","version","stocknumber","filesetid","type","script","iso639","bibleid"
"Adzera","2009 Wycliffe Bible Translators, Inc.","P2ADZ/WBT","ADZWBT","text_plain","Latn","adz","ADZAMV"
"Adzera","2009 Wycliffe Bible Translators, Inc.","P2ADZ/WBT","ADZWBT","text_format","Latn","adz","ADZAMV"
"Saidi Arabic","Upper Egyptian Colloquial","P2AEC/EBS","AECEBSP2DA","audio_drama","Arab","aec","AECEBS"
"Saidi Arabic","Upper Egyptian Colloquial","P2AEC/EBS","AECEBSP2DA16","audio_drama","Arab","aec","AECEBS"
"Eastern Arrernte","2017 Wycliffe Bible Translators","N2AER/WYI","AERWYI","text_plain","Latn","aer","AERWYI"
"Eastern Arrernte","2017 Wycliffe Bible Translators","N2AER/WYI","AERWYI","text_format","Latn","aer","AERWYI"
"Akeu","Wycliffe Bible Translators, Inc.","N2AEU/WBT","AEUWBT","text_plain","Latn","aeu","AEUWBT"
"Akeu","Wycliffe Bible Translators, Inc.","N2AEU/WBT","AEUWBT","text_format","Latn","aeu","AEUWBT"
"Akeu","Wycliffe Bible Translators, Inc.","N2AEU/WBT","AEUWBTN1DA","audio","Latn","aeu","AEUWBT"
"Akeu","Wycliffe Bible Translators, Inc.","N2AEU/WBT","AEUWBTN1DA16","audio","Latn","aeu","AEUWBT"
"Akeu","Wycliffe Bible Translators, Inc.","N2AEU/WBT","AEUWBTN2DA","audio_drama","Latn","aeu","AEUWBT"
"Akeu","Wycliffe Bible Translators, Inc.","N2AEU/WBT","AEUWBTN2DA16","audio_drama","Latn","aeu","AEUWBT"
"Akeu","Wycliffe Bible Translators, Inc.","N2AEU/WBT","AEUWBTP2DV","video_stream","Latn","aeu","AEUWBT"
"Amele","1997 The Bible League","N2AEY/TBL","AEYTBL","text_format","Latn","aey","AEYWBT"
"Amele","1997 The Bible League","N2AEY/TBL","AEYTBL","text_plain","Latn","aey","AEYWBT"
"Gulf Arabic","Good News Version","N2AFB/GNV","AFBGNVN2DA","audio_drama",NULL,"afb","AFBGNV"
"Afrikaans","Die Bybel in Afrikaans 1983-vertaling","P2AFR/LPF","AFRLPFP2DV","video_stream",NULL,"afr","AFRLPF"
"Afrikaans","Die Bybel: Nuwe vertaling","N2AFR/NVV","AFRNVVN2DA","audio_drama",NULL,"afr","AFRNVV"
"Afrikaans","Die Bybel: Nuwe vertaling","P2AFR/NVV","AFRNVVP2DA","audio_drama",NULL,"afr","AFRNVV"
"Agarabi","2010 The Bible Society of Papua New Guinea","N1AGD/WBT","AGDPNG","text_format",NULL,"agd","AGDPNG"
"Agarabi","2010 The Bible Society of Papua New Guinea","N1AGD/WBT","AGDPNG","text_plain",NULL,"agd","AGDPNG"
"Angor","2001 Wycliffe Bible Translators Inc.","P1AGG/PNG","AGGPNG","text_format","Latn","agg","AGGPNG"
"Angor","2001 Wycliffe Bible Translators Inc.","P1AGG/PNG","AGGPNG","text_plain","Latn","agg","AGGPNG"
"Angor","2001 Wycliffe Bible Translators Inc.","P1AGG/PNG","AGGPNGP1DA","audio","Latn","agg","AGGPNG"
"Angor","2001 Wycliffe Bible Translators Inc.","P1AGG/PNG","AGGPNGP1DA16","audio","Latn","agg","AGGPNG"
"Angaataha","2004 Wycliffe Bible Translators, Inc.","N2AGM/WBT","AGMWBT","text_format","Latn","agm","AGMWBT"
"Angaataha","2004 Wycliffe Bible Translators, Inc.","N2AGM/WBT","AGMWBT","text_plain","Latn","agm","AGMWBT"
"Agutaynen","2004 WPS","N2AGN/WPS","AGNWPS","text_plain","Latn","agn","AGNWPS"
"Agutaynen","2004 WPS","N2AGN/WPS","AGNWPS","text_format","Latn","agn","AGNWPS"
"Agutaynen","2004 WPS","N2AGN/WPS","AGNWPSN2DA","audio_drama","Latn","agn","AGNWPS"
"Agutaynen","2004 WPS","N2AGN/WPS","AGNWPSN2DA16","audio_drama","Latn","agn","AGNWPS"
"Agutaynen","2004 WPS","N2AGN/WPS","AGNWPSP2DV","video_stream","Latn","agn","AGNWPS"
"Aguaruna","Bible League International","N2AGR/TBL","AGRTBL","text_plain","Latn","agr","AGRTBL"
"Aguaruna","Bible League International","N2AGR/TBL","AGRTBLN2DA","audio_drama","Latn","agr","AGRTBL"
"Aguaruna","Bible League International","N2AGR/TBL","AGRTBLN2DA16","audio_drama","Latn","agr","AGRTBL"
"Aguaruna","Bible League International","N2AGR/TBL","AGRTBLP2DV","video_stream","Latn","agr","AGRTBL"
"Aguacateco","Asociación Educativa y Cultural Maya","P2AGU/AEM","AGUAEMP1DA","audio","Latn","agu","AGUAEM"
"Aguacateco","Asociación Educativa y Cultural Maya","P2AGU/AEM","AGUAEMP2DA","audio_drama","Latn","agu","AGUAEM"
"Aguacateco","1993 Wycliffe Bible Translators Inc.","N1AGU/NVS","AGUNVS","text_plain",NULL,"agu","AGUNVS"
"Aguacateco","1993 Wycliffe Bible Translators Inc.","N1AGU/NVS","AGUNVSN1DA","audio",NULL,"agu","AGUNVS"
"Aguacateco","1993 Wycliffe Bible Translators Inc.","N1AGU/NVS","AGUNVSN1DA16","audio",NULL,"agu","AGUNVS"
"Aguacateco","1993 Wycliffe Bible Translators Inc.","N1AGU/NVS","AGUNVSP1DV","video_stream",NULL,"agu","AGUNVS"
"Aguacateco","1993 Wycliffe Bible Translators Inc.","N2AGU/WBT","AGUWBT","text_plain",NULL,"agu","AGUNVS"
"Aghul","2005 Institute for Bible Translation, Moscow","P2AGX/IBT","AGXIBT","text_plain","Cyrl","agx","AGXIBT"
"Aghul","2005 Institute for Bible Translation, Moscow","P2AGX/IBT","AGXIBT","text_format","Cyrl","agx","AGXIBT"
"Aghul","2005 Institute for Bible Translation, Moscow","P2AGX/IBT","AGXIBTP2DA","audio_drama","Cyrl","agx","AGXIBT"
"Akha","Bibles International","N2AHK/BIV","AHKBIV","text_plain","Latn","ahk","AHKBIV"
"Akha","Bibles International","N2AHK/BIV","AHKBIV","text_format","Latn","ahk","AHKBIV"
"Akha","2001 Thailand Bible Society","N2AHK/TBS","AHKTBS","text_plain",NULL,"ahk","AHKTBS"
"Akha","2001 Thailand Bible Society","N2AHK/TBS","AHKTBS","text_format",NULL,"ahk","AHKTBS"
"Akha","2001 Thailand Bible Society","N2AHK/TBS","AHKTBSN2DA","audio_drama",NULL,"ahk","AHKTBS"
"Akha","2001 Thailand Bible Society","N2AHK/TBS","AHKTBSN2DA16","audio_drama",NULL,"ahk","AHKTBS"
"Akha","2001 Thailand Bible Society","N2AHK/TBS","AHKTBSP2DV","video_stream",NULL,"ahk","AHKTBS"
"Igo","1999 Comite de Traduction","P2AHL/ABT","AHLABTP2DA","audio_drama",NULL,"ahl","AHLABT"
"Igo","1999 Comite de Traduction","P2AHL/ABT","AHLABTP2DA16","audio_drama",NULL,"ahl","AHLABT"
"Arosi","2004 Wycliffe Bible Translators, Inc.","N2AIA/WYI","AIAWBTP2DV","video_stream","Latn","aia","AIAWBT"
"Arosi","2004 Wycliffe Bible Translators, Inc.","N2AIA/WYI","AIAWYI","text_plain","Latn","aia","AIAWBT"
"Arosi","2004 Wycliffe Bible Translators, Inc.","N2AIA/WYI","AIAWYIN1DA","audio","Latn","aia","AIAWBT"
"Arosi","2004 Wycliffe Bible Translators, Inc.","N2AIA/WYI","AIAWYIN1DA16","audio","Latn","aia","AIAWBT"
"Arosi","2004 Wycliffe Bible Translators, Inc.","N2AIA/WYI","AIAWYIN2DA","audio_drama","Latn","aia","AIAWBT"
"Arosi","2004 Wycliffe Bible Translators, Inc.","N2AIA/WYI","AIAWYIN2DA16","audio_drama","Latn","aia","AIAWBT"
"Aari","The Word for the World, 2015","N1AIW/DPI","AIWDPIC1DA","audio",NULL,"aiw","AIWDPI"
"Aari","The Word for the World, 2015","N1AIW/DPI","AIWDPIN1DA","audio",NULL,"aiw","AIWDPI"
"Aari","The Word for the World, 2015","O1AIW/DPI","AIWDPIO1DA","audio",NULL,"aiw","AIWDPI"
"Akan","2012 Bible Society of Ghana","N2TWS/BSG","AK1BSG","text_plain","Latn","aka","AKABSG"
"Akan","2012 Bible Society of Ghana","N2TWS/BSG","AK1BSGN1DA","audio","Latn","aka","AKABSG"
"Akan","2012 Bible Society of Ghana","N2TWS/BSG","AK1BSGN1DA16","audio","Latn","aka","AKABSG"
"Akan","2012 Bible Society of Ghana","N2TWS/BSG","AK1BSGN2DA","audio_drama","Latn","aka","AKABSG"
"Akan","2012 Bible Society of Ghana","N2TWS/BSG","AK1BSGN2DA16","audio_drama","Latn","aka","AKABSG"
"Akan","2012 Bible Society of Ghana","N2TWS/BSG","AK1BSGP2DV","video_stream","Latn","aka","AKABSG"
"Akan: Akuapem","1964 Bible Society of Ghana","N1TWS/UBS","AK1UBSN1DA","audio",NULL,"aka","AK1UBS"
"Akan: Asante","1964 Bible Society of Ghana","N2TWS/ASA","AK2ASAN2DA","audio_drama",NULL,"aka","AKAUBS"
"Akan: Asante","1964 Bible Society of Ghana","N2TWS/ASA","AK2ASAN2DA16","audio_drama",NULL,"aka","AKAUBS"
"Akan: Asante","Nkwa Asɛm Apam Foforɔ Ne Nnwom (Asante Twi Contemporary Version)","N1AKA/BIB","AK2BIB","text_plain","Latn","aka","AKABIB"
"Akan: Asante","Nkwa Asɛm Apam Foforɔ Ne Nnwom (Asante Twi Contemporary Version)","N1AKA/BIB","AK2BIB","text_format","Latn","aka","AKABIB"
"Akan: Asante","Nkwa Asɛm Apam Foforɔ Ne Nnwom (Asante Twi Contemporary Version)","N1AKA/BIB","AK2BIBN1DA","audio","Latn","aka","AKABIB"
"Akan: Asante","Nkwa Asɛm Apam Foforɔ Ne Nnwom (Asante Twi Contemporary Version)","N1AKA/BIB","AK2BIBN1DA16","audio","Latn","aka","AKABIB"
"Akan: Fante","1982 Bible Society of Ghana","N2TWS/FAN","AK3FANN2DA","audio_drama",NULL,"aka","AKAFAN"
"Akan: Fante","1982 Bible Society of Ghana","N2TWS/FAN","AK3FANN2DA16","audio_drama",NULL,"aka","AKAFAN"
"Akan: Asante","Asante-Twi Bible With Deutero-Canons","P1TWS/ASA","AKAASAP2DV","video_stream","Latn","aka","AKAASA"
"Batak Angkola","1991 Edition","N2AKB/LAI","AKBLAI","text_plain","Latn","akb","AKBLAI"
"Batak Angkola","1991 Edition","N2AKB/LAI","AKBLAIN1DA","audio","Latn","akb","AKBLAI"
"Batak Angkola","1991 Edition","N2AKB/LAI","AKBLAIN2DA","audio_drama","Latn","akb","AKBLAI"
"Akawaio","2010 Bible Society of Suriname","N2AKE/BSS","AKEBSS","text_plain","Latn","ake","AKEBSS"
"Akawaio","2010 Bible Society of Suriname","N2AKE/BSS","AKEBSSN1DA","audio","Latn","ake","AKEBSS"
"Akawaio","2010 Bible Society of Suriname","N2AKE/BSS","AKEBSSN1DA16","audio","Latn","ake","AKEBSS"
"Akawaio","2010 Bible Society of Suriname","N2AKE/BSS","AKEBSSN2DA","audio_drama","Latn","ake","AKEBSS"
"Akawaio","2010 Bible Society of Suriname","N2AKE/BSS","AKEBSSN2DA16","audio_drama","Latn","ake","AKEBSS"
"Akawaio","2010 Bible Society of Suriname","N2AKE/BSS","AKEBSSP2DV","video_stream","Latn","ake","AKEBSS"
"Angal Heneng","1978 The Bible Society of Papua New Guinea","N2AKH/BSP","AKHBSP","text_format","Latn","akh","AKHBSP"
"Angal Heneng","1978 The Bible Society of Papua New Guinea","N2AKH/BSP","AKHBSP","text_plain","Latn","akh","AKHBSP"
"Siwu","2008 Wycliffe Bible Translators Inc.","N2AKP/WBT","AKPWBT","text_plain","Latn","akp","AKPWBT"
"Siwu","2008 Wycliffe Bible Translators Inc.","N2AKP/WBT","AKPWBTN1DA","audio","Latn","akp","AKPWBT"
"Siwu","2008 Wycliffe Bible Translators Inc.","N2AKP/WBT","AKPWBTN1DA16","audio","Latn","akp","AKPWBT"
"Siwu","2008 Wycliffe Bible Translators Inc.","N2AKP/WBT","AKPWBTN2DA","audio_drama","Latn","akp","AKPWBT"
"Siwu","2008 Wycliffe Bible Translators Inc.","N2AKP/WBT","AKPWBTN2DA16","audio_drama","Latn","akp","AKPWBT"
"Siwu","2008 Wycliffe Bible Translators Inc.","N2AKP/WBT","AKPWBTP2DV","video_stream","Latn","akp","AKPWBT"
"Alladian","2003 Bible Society of Cote d'Ivoire","N2ALD/ABC","ALDABCN2DA","audio_drama",NULL,"ald","ALDABC"
"Alladian","2003 Bible Society of Cote d'Ivoire","N2ALD/ABC","ALDABCN2DA16","audio_drama",NULL,"ald","ALDABC"
"Alangan","Overseas Missionary Fellowship 1989","N2ALJ/OMF","ALJOMF","text_plain","Latn","alj","ALJOMF"
"Alangan","Overseas Missionary Fellowship 1989","N2ALJ/OMF","ALJOMF","text_format","Latn","alj","ALJOMF"
"Alangan","Overseas Missionary Fellowship 1989","N2ALJ/OMF","ALJOMFN2DA","audio_drama","Latn","alj","ALJOMF"
"Alangan","Overseas Missionary Fellowship 1989","N2ALJ/OMF","ALJOMFN2DA16","audio_drama","Latn","alj","ALJOMF"
"Alune","2012 Wycliffe Bible Translators, Inc. and Sinode Gereja Protestan Maluku","N2ALP/WBT","ALPWBT","text_plain","Latn","alp","ALPWBT"
"Alune","2012 Wycliffe Bible Translators, Inc. and Sinode Gereja Protestan Maluku","N2ALP/WBT","ALPWBTN1DA","audio","Latn","alp","ALPWBT"
"Alune","2012 Wycliffe Bible Translators, Inc. and Sinode Gereja Protestan Maluku","N2ALP/WBT","ALPWBTN2DA","audio_drama","Latn","alp","ALPWBT"
"Alune","2012 Wycliffe Bible Translators, Inc. and Sinode Gereja Protestan Maluku","N2ALP/WBT","ALPWBTN2DA16","audio_drama","Latn","alp","ALPWBT"
"Alune","2012 Wycliffe Bible Translators, Inc. and Sinode Gereja Protestan Maluku","N2ALP/WBT","ALPWBTP2DV","video_stream","Latn","alp","ALPWBT"
"Albanian","Albanian Bible Version","C2ALS/ABV","ALSABV","text_format","Latn","sqi","ALSABV"
"Albanian","Albanian Bible Version","C2ALS/ABV","ALSABV","text_plain","Latn","sqi","ALSABV"
"Albanian","Interconfessional/së bashku","N2ALS/BSA","ALSBSA","text_plain","Latn","sqi","ALSBSA"
"Albanian","Interconfessional/së bashku","N2ALS/BSA","ALSBSAN2DA","audio_drama","Latn","sqi","ALSBSA"
"Albanian","Interconfessional/së bashku","N2ALS/BSA","ALSBSAN2DA16","audio_drama","Latn","sqi","ALSBSA"
"Southern Altai","Institute for Bible Translation, Moscow","N2ALT/IBT","ALTIBT","text_plain","Cyrl","alt","ALTIBT"
"Southern Altai","Institute for Bible Translation, Moscow","N2ALT/IBT","ALTIBT","text_format","Cyrl","alt","ALTIBT"
"Southern Altai","Institute for Bible Translation, Moscow","N2ALT/IBT","ALTIBTN2DA","audio_drama","Cyrl","alt","ALTIBT"
"Southern Altai","Institute for Bible Translation, Moscow","N2ALT/IBT","ALTIBTN2DA16","audio_drama","Cyrl","alt","ALTIBT"
"Southern Altai","Institute for Bible Translation, Moscow","N2ALT/IBT","ALTIBTP2DV","video_stream","Cyrl","alt","ALTIBT"
"Alaba-K’abeena","The Word for the World 2015","N1ALW/DPI","ALWDPIN1DA","audio",NULL,"alw","ALWDPI"
"Alur","1970 Bible Society of Uganda","N2ALZ/BSU","ALZBSU","text_format","Latn","alz","ALZBSU"
"Alur","1970 Bible Society of Uganda","N2ALZ/BSU","ALZBSU","text_plain","Latn","alz","ALZBSU"
